tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,2.0168,2.5568,-0.6284,0.0,1.9284,3.9452
2.0,2.0641,2.4317,-0.6284,0.0,1.8033,3.8674
3.0,2.1123,2.3171,-0.731,0.0,1.5861,3.6984
4.0,2.1731,2.2119,-0.8335,0.0,1.3784,3.5515
5.0,2.2613,2.1155,-0.9002,0.0,1.2153,3.4766
6.0,2.3879,2.027,-0.9669,0.0,1.0601,3.448
7.0,2.5502,1.9459,-1.0325,0.0,0.9134,3.4636
8.0,2.7376,1.8716,-1.0982,0.0,0.7734,3.511
9.0,2.9356,1.8034,-1.1284,0.0,0.675,3.6106
10.0,3.1294,1.7409,-1.1233,0.0,0.6176,3.747
11.0,3.3062,1.6835,-1.1181,0.0,0.5654,3.8716
12.0,3.4562,1.631,-1.113,0.0,0.518,3.9742
13.0,3.5738,1.5827,-1.1153,0.0,0.4674,4.0412
14.0,3.6569,1.5385,-1.1248,0.0,0.4137,4.0706
15.0,3.7063,1.498,-1.1343,0.0,0.3637,4.07
16.0,3.7248,1.4608,-1.144,0.0,0.3168,4.0416
17.0,3.7166,1.4267,-1.1535,0.0,0.2732,3.9898
18.0,3.6865,1.3954,-1.1631,0.0,0.2323,3.9188
19.0,3.6394,1.3668,-1.1727,0.0,0.1941,3.8335
20.0,3.5804,1.3405,-1.1823,0.0,0.1582,3.7386
21.0,3.5135,1.3164,-1.1823,0.0,0.1341,3.6476
22.0,3.4426,1.2943,-1.1823,0.0,0.112,3.5546
23.0,3.3705,1.274,-1.1823,0.0,0.0917,3.4622
24.0,3.3001,1.2554,-1.1823,0.0,0.0731,3.3732
25.0,3.234,1.2384,-1.1823,0.0,0.0561,3.2901
26.0,3.175,1.2227,-1.1823,0.0,0.0404,3.2154
27.0,3.1259,1.2084,-1.1823,0.0,0.0261,3.152
28.0,3.0888,1.1952,-1.1823,0.0,0.0129,3.1017
29.0,3.065,1.1832,-1.1823,0.0,0.0009,3.0659
30.0,3.0537,1.1721,-1.1823,0.0,-0.0102,3.0435
