field,value
ticker,TSLA
generated_utc,2026-09-10 01:07 UTC
generated_iso,2026-09-10T01:07:04Z
bonds_source,none (pure-rating)
n_bonds,0
run_id,34424123804
git_sha,e5f392e
obs_category,unset (forecaster's judgment)
obs_category_effective_in_published_curve,none
