tenor,real,real_fwd1y,exp_inflation,exp_inflation_fwd1y,breakeven,breakeven_fwd1y,nominal,nominal_fwd1y
1.0,0.022115945,0.022115945,0.026791,0.026791,0.021863,0.021863,0.044462466,0.044462466
2.0,0.022956257,0.023797259,0.026612,0.026433,0.024151,0.026446,0.047661674,0.050872601
3.0,0.023681568,0.025133735,0.026411,0.026008,0.024631,0.025592,0.048895869,0.051368958
4.0,0.024282649,0.026088009,0.026267,0.025835,0.024175,0.022805,0.049044682,0.049487946
5.0,0.024751290,0.026628000,0.026173,0.025795,0.02363,0.021457,0.048966163,0.048656357
6.0,0.025079301,0.026720934,0.026114,0.02582,0.023372,0.022081,0.049037454,0.049391959
7.0,0.025358760,0.027037112,0.026079,0.025875,0.023229,0.02237,0.049176819,0.050011932
8.0,0.025666614,0.027824178,0.026063,0.025943,0.023248,0.023385,0.049511311,0.051859846
9.0,0.025974513,0.028441041,0.026058,0.026015,0.023328,0.023962,0.049908446,0.053084545
10.0,0.026270302,0.028936246,0.02606,0.026087,0.023433,0.024388,0.050318894,0.054029943
11.0,0.026557016,0.029428557,0.026069,0.026156,0.023524,0.024432,0.050705743,0.054579556
12.0,0.026843769,0.030003346,0.026081,0.026223,0.023602,0.02446,0.051079336,0.055197228
13.0,0.027128535,0.030551897,0.026098,0.026286,0.023661,0.024363,0.051431423,0.055659233
14.0,0.027409287,0.031066045,0.026115,0.026345,0.023697,0.024184,0.051755805,0.056001346
15.0,0.027685008,0.031552879,0.026134,0.026399,0.023716,0.023964,0.052057586,0.056273012
16.0,0.027952654,0.031975733,0.026154,0.026452,0.023717,0.023729,0.052332607,0.056463485
17.0,0.028210196,0.032339649,0.026175,0.0265,0.023704,0.023502,0.052582890,0.056601695
18.0,0.028456615,0.032654776,0.026195,0.026546,0.023681,0.023289,0.052811496,0.056704273
19.0,0.028688863,0.032878317,0.026216,0.026588,0.02365,0.023094,0.053017355,0.056731609
20.0,0.028905923,0.033038765,0.026236,0.026628,0.023612,0.022905,0.053200450,0.056700518
21.0,0.029111846,0.033238979,0.026257,0.026666,0.023611,0.023577,0.053410206,0.057599654
22.0,0.029311703,0.033517669,0.026277,0.026701,0.023603,0.023449,0.053606547,0.057752625
23.0,0.029505491,0.033778073,0.026297,0.026734,0.02359,0.023285,0.053791526,0.057849595
24.0,0.029691179,0.033971271,0.026316,0.026764,0.023567,0.023063,0.053957911,0.057817750
25.0,0.029870795,0.034190998,0.026336,0.026793,0.023536,0.022754,0.054109834,0.057722980
26.0,0.030041293,0.034312922,0.026354,0.026819,0.023489,0.022327,0.054235933,0.057406027
27.0,0.030203685,0.034434873,0.026372,0.026845,0.023424,0.021748,0.054335176,0.056931763
28.0,0.030355939,0.034475315,0.02639,0.026869,0.023337,0.020994,0.054401356,0.056193090
29.0,0.030499068,0.034514764,0.026408,0.02689,0.023224,0.020054,0.054431378,0.055260923
30.0,0.030631040,0.034465582,0.026424,0.026911,0.023081,0.018942,0.054419035,0.054060429
