,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1984-11,3.433,4.052,1.136,8.621,4.557,13.178,T
1984-12,3.272,4.103,1.171,8.546,4.512,13.057,T
1985-01,3.685,3.892,1.069,8.646,4.443,13.089,T
1985-02,3.774,3.875,0.954,8.603,4.407,13.009,T
1985-03,3.592,3.896,0.768,8.256,4.388,12.643,T
1985-04,3.598,3.863,0.885,8.346,4.355,12.702,T
1985-05,3.748,4.012,0.895,8.655,4.333,12.987,T
1985-06,3.863,4.041,1.043,8.947,4.304,13.25,T
1985-07,3.987,4.041,0.781,8.809,4.26,13.07,T
1985-08,3.802,4.03,0.762,8.594,4.218,12.812,T
1985-09,3.68,3.989,0.589,8.258,4.176,12.434,T
1985-10,3.669,3.918,0.649,8.236,4.157,12.393,T
1985-11,3.286,4.018,0.539,7.843,4.154,11.997,T
1985-12,3.361,3.997,0.637,7.995,4.152,12.147,T
1986-01,3.155,3.966,0.678,7.799,4.135,11.934,T
1986-02,3.087,4.016,0.659,7.762,4.054,11.816,T
1986-03,3.061,4.075,0.612,7.748,3.967,11.715,T
1986-04,3.196,3.974,0.6,7.77,3.895,11.665,T
1986-05,3.152,3.773,0.847,7.772,3.868,11.64,T
1986-06,3.101,3.783,1.161,8.045,3.871,11.917,T
1986-07,3.107,3.852,1.131,8.09,3.843,11.933,T
1986-08,2.948,4.031,1.204,8.183,3.831,12.013,T
1986-09,2.84,3.881,0.907,7.628,3.834,11.463,T
1986-10,2.808,3.95,0.885,7.643,3.806,11.449,T
1986-11,2.878,3.959,0.784,7.621,3.786,11.407,T
1986-12,2.895,4.049,0.776,7.72,3.77,11.49,T
1987-01,2.829,3.928,0.889,7.646,3.797,11.443,T
1987-02,2.857,3.837,0.925,7.619,3.847,11.466,T
1987-03,2.9,3.816,0.843,7.559,3.921,11.481,T
1987-04,2.724,3.809,1.13,7.663,3.983,11.646,T
1987-05,2.84,3.776,1.092,7.708,3.995,11.703,T
1987-06,2.764,3.857,1.024,7.645,3.985,11.63,T
1987-07,2.861,3.875,0.992,7.728,4.012,11.74,T
1987-08,2.824,3.963,0.889,7.676,4.045,11.72,T
1987-09,2.879,3.896,1.464,8.239,4.055,12.294,T
1987-10,3.068,4.25,1.657,8.975,4.074,13.049,T
1987-11,2.908,4.732,2.15,9.79,4.078,13.868,T
1987-12,2.614,4.84,1.705,9.159,4.075,13.234,T
1988-01,2.59,4.879,2.095,9.564,4.05,13.614,T
1988-02,2.526,4.901,1.934,9.361,4.046,13.407,T
1988-03,2.632,4.895,1.893,9.42,4.048,13.468,T
1988-04,2.629,4.91,1.23,8.769,4.051,12.819,T
1988-05,2.864,4.854,1.481,9.199,4.054,13.253,T
1988-06,2.868,5.002,1.498,9.368,4.064,13.432,T
1988-07,2.709,5.061,1.494,9.264,4.08,13.344,T
1988-08,2.97,4.974,1.149,9.093,4.076,13.17,T
1988-09,2.959,4.991,1.21,9.16,4.092,13.252,T
1988-10,2.977,5.051,1.187,9.215,4.102,13.318,T
1988-11,3.103,4.943,1.044,9.09,4.106,13.196,T
1988-12,3.183,4.909,1.024,9.116,4.123,13.239,T
1989-01,3.347,4.918,1.136,9.401,4.145,13.547,T
1989-02,3.408,4.885,1.064,9.357,4.161,13.517,T
1989-03,3.419,4.784,0.977,9.18,4.175,13.355,T
1989-04,3.3,4.82,1.109,9.229,4.187,13.416,T
1989-05,3.278,4.905,1.281,9.464,4.206,13.67,T
1989-06,3.245,4.977,1.225,9.447,4.191,13.638,T
1989-07,3.241,5.018,1.418,9.677,4.175,13.853,T
1989-08,3.32,5.083,1.637,10.04,4.153,14.193,T
1989-09,3.389,5.047,1.914,10.35,4.123,14.472,T
1989-10,3.31,5.075,1.494,9.879,4.131,14.01,T
1989-11,3.274,5.044,1.223,9.541,4.14,13.681,T
1989-12,3.315,5.054,1.572,9.941,4.135,14.077,T
1990-01,3.22,4.991,2.175,10.386,4.173,14.559,T
1990-02,3.131,4.899,2.325,10.355,4.172,14.527,T
1990-03,3.271,4.831,1.856,9.958,4.163,14.121,T
1990-04,3.247,4.775,1.045,9.067,4.117,13.183,T
1990-05,3.101,4.837,0.775,8.713,4.082,12.795,T
1990-06,3.046,4.813,1.305,9.164,4.097,13.261,T
1990-07,2.959,4.789,1.288,9.036,4.1,13.135,T
1990-08,2.752,4.837,1.324,8.913,4.149,13.063,T
1990-09,2.628,4.833,1.535,8.996,4.179,13.175,T
1990-10,2.488,4.381,1.904,8.773,4.176,12.949,T
1990-11,2.555,3.855,1.916,8.326,4.159,12.486,T
1990-12,2.313,3.915,1.203,7.431,4.129,11.56,T
1991-01,2.247,3.944,1.301,7.492,4.076,11.568,T
1991-02,2.302,4.161,1.169,7.632,4.029,11.662,T
1991-03,2.45,4.146,1.354,7.95,3.976,11.926,T
1991-04,2.446,4.136,1.198,7.78,3.952,11.733,T
1991-05,2.475,4.059,1.505,8.039,3.933,11.972,T
1991-06,2.536,3.978,1.672,8.186,3.889,12.075,T
1991-07,2.578,3.958,1.491,8.027,3.844,11.872,T
1991-08,2.471,3.965,1.187,7.623,3.769,11.392,T
1991-09,2.502,3.962,0.87,7.334,3.712,11.046,T
1991-10,2.32,4.005,1.305,7.63,3.65,11.28,T
1991-11,2.356,3.959,1.291,7.606,3.63,11.236,T
1991-12,2.6,3.878,1.516,7.994,3.611,11.605,T
1992-01,2.527,4.094,1.257,7.878,3.552,11.429,T
1992-02,2.57,4.088,1.211,7.869,3.545,11.414,T
1992-03,2.528,4.103,1.162,7.793,3.55,11.343,T
1992-04,2.548,4.064,1.44,8.052,3.527,11.579,T
1992-05,2.437,4.073,1.524,8.034,3.493,11.527,T
1992-06,2.305,4.054,1.383,7.742,3.477,11.219,T
1992-07,2.25,4.056,1.448,7.754,3.461,11.215,T
1992-08,2.061,4.058,1.421,7.54,3.44,10.98,T
1992-09,2.097,4.041,1.406,7.544,3.407,10.951,T
1992-10,2.422,3.951,1.013,7.386,3.403,10.79,T
1992-11,2.55,3.949,0.936,7.435,3.372,10.807,T
1992-12,2.621,4.022,1.09,7.733,3.341,11.074,T
1993-01,2.539,4.046,1.406,7.991,3.349,11.341,T
1993-02,2.437,4.075,1.86,8.372,3.329,11.702,T
1993-03,2.424,4.12,1.719,8.263,3.298,11.562,T
1993-04,2.571,4.116,1.359,8.046,3.29,11.336,T
1993-05,2.571,4.125,1.121,7.817,3.271,11.088,T
1993-06,2.595,4.154,1.013,7.762,3.236,10.997,T
1993-07,2.588,4.17,1.195,7.953,3.201,11.153,T
1993-08,2.589,4.039,1.616,8.244,3.182,11.427,T
1993-09,2.682,4.058,1.883,8.623,3.159,11.782,T
1993-10,2.409,4.116,1.713,8.238,3.147,11.385,T
1993-11,2.5,4.084,1.428,8.012,3.124,11.136,T
1993-12,2.555,4.076,1.274,7.905,3.114,11.019,T
1994-01,2.491,4.112,1.078,7.681,3.081,10.762,T
1994-02,2.491,4.089,1.097,7.677,3.065,10.742,T
1994-03,2.576,4.047,1.361,7.984,3.05,11.034,T
1994-04,2.672,4.001,1.48,8.153,3.025,11.178,T
1994-05,2.626,4.044,1.374,8.044,3.006,11.05,T
1994-06,2.617,4.078,1.548,8.243,3.008,11.251,T
1994-07,2.643,4.071,1.576,8.29,3.017,11.306,T
1994-08,2.762,4.109,1.667,8.538,3.015,11.552,T
1994-09,2.681,4.129,1.519,8.329,3.007,11.336,T
1994-10,2.809,4.112,1.361,8.282,2.969,11.251,T
1994-11,2.919,4.051,1.199,8.169,2.962,11.132,T
1994-12,2.929,4.003,1.128,8.06,2.951,11.011,T
1995-01,2.928,4.023,1.401,8.352,2.95,11.302,T
1995-02,2.832,4.071,1.557,8.46,2.944,11.404,T
1995-03,2.827,4.081,1.322,8.23,2.932,11.162,T
1995-04,2.776,4.104,1.355,8.235,2.937,11.172,T
1995-05,2.702,4.178,1.138,8.018,2.936,10.954,T
1995-06,2.686,4.226,1.324,8.236,2.914,11.15,T
1995-07,2.756,4.282,1.005,8.043,2.882,10.925,T
1995-08,2.807,4.297,1.263,8.367,2.86,11.227,T
1995-09,2.825,4.353,1.342,8.52,2.844,11.364,T
1995-10,2.844,4.363,1.495,8.702,2.853,11.555,T
1995-11,2.901,4.374,1.623,8.898,2.828,11.725,T
1995-12,2.893,4.392,1.598,8.883,2.812,11.695,T
1996-01,2.734,4.394,1.463,8.591,2.817,11.408,T
1996-02,2.914,4.442,1.328,8.684,2.801,11.485,T
1996-03,2.926,4.402,1.423,8.751,2.806,11.557,T
1996-04,3.012,4.4,1.526,8.938,2.8,11.739,T
1996-05,3.015,4.41,1.499,8.924,2.79,11.714,T
1996-06,3.017,4.409,1.23,8.656,2.77,11.426,T
1996-07,3.108,4.32,1.216,8.644,2.775,11.419,T
1996-08,3.078,4.328,1.364,8.77,2.759,11.529,T
1996-09,3.108,4.323,1.296,8.727,2.758,11.485,T
1996-10,3.092,4.334,1.251,8.677,2.747,11.424,T
1996-11,3.104,4.356,1.046,8.506,2.756,11.262,T
1996-12,3.096,4.314,0.944,8.354,2.75,11.104,T
1997-01,3.048,4.34,1.022,8.41,2.717,11.128,T
1997-02,3.091,4.363,1.094,8.548,2.705,11.253,T
1997-03,3.138,4.343,1.343,8.824,2.672,11.496,T
1997-04,3.086,4.266,1.198,8.55,2.639,11.189,T
1997-05,3.14,4.354,1.033,8.527,2.607,11.135,T
1997-06,3.127,4.401,0.958,8.486,2.6,11.086,T
1997-07,3.097,4.455,1.233,8.785,2.583,11.369,T
1997-08,3.149,4.427,1.391,8.967,2.572,11.539,T
1997-09,3.222,4.429,1.788,9.439,2.555,11.995,T
1997-10,3.246,4.408,1.844,9.498,2.54,12.038,T
1997-11,3.233,4.358,2.239,9.83,2.51,12.341,T
1997-12,3.26,4.379,1.821,9.46,2.491,11.952,T
1998-01,3.143,4.374,1.901,9.418,2.473,11.891,T
1998-02,3.314,4.426,1.821,9.561,2.455,12.016,T
1998-03,3.33,4.503,2.403,10.236,2.444,12.68,T
1998-04,3.3,4.532,2.378,10.21,2.443,12.653,T
1998-05,3.37,4.512,2.322,10.204,2.457,12.66,T
1998-06,3.395,4.489,1.815,9.699,2.453,12.151,T
1998-07,3.356,4.547,1.685,9.588,2.449,12.038,T
1998-08,3.358,4.538,1.517,9.413,2.442,11.855,T
1998-09,3.347,4.626,2.062,10.035,2.431,12.466,T
1998-10,3.084,4.633,1.724,9.441,2.43,11.871,T
1998-11,3.258,4.97,1.379,9.607,2.435,12.042,T
1998-12,3.302,5.052,1.433,9.787,2.441,12.229,T
1999-01,3.607,5.129,1.32,10.056,2.448,12.504,T
1999-02,3.8,5.142,1.072,10.014,2.446,12.46,T
1999-03,3.736,5.194,1.376,10.306,2.459,12.765,T
1999-04,3.714,5.236,2.149,11.099,2.504,13.603,T
1999-05,3.697,5.245,2.55,11.492,2.495,13.987,T
1999-06,3.841,5.221,2.6,11.662,2.491,14.152,T
1999-07,3.807,5.21,1.867,10.884,2.51,13.394,T
1999-08,3.873,5.246,2.678,11.797,2.525,14.321,T
1999-09,3.912,5.249,2.617,11.778,2.558,14.336,T
1999-10,3.948,5.25,2.624,11.822,2.559,14.381,T
1999-11,3.963,5.365,1.896,11.224,2.57,13.794,T
1999-12,4.106,5.426,2.193,11.725,2.581,14.305,T
2000-01,4.141,5.422,2.734,12.297,2.591,14.888,T
2000-02,4.074,5.43,3.526,13.03,2.633,15.663,T
2000-03,3.851,5.454,2.75,12.055,2.678,14.734,T
2000-04,3.912,5.381,2.586,11.879,2.631,14.51,T
2000-05,4.053,5.257,1.938,11.248,2.644,13.892,T
2000-06,3.857,5.273,1.607,10.737,2.687,13.425,T
2000-07,3.944,5.178,1.309,10.431,2.684,13.115,T
2000-08,3.878,5.165,1.478,10.521,2.667,13.188,T
2000-09,3.882,5.154,2.465,11.501,2.67,14.171,T
2000-10,3.827,5.158,3.509,12.494,2.67,15.163,T
2000-11,3.739,5.13,3.21,12.079,2.668,14.747,T
2000-12,3.59,5.125,2.859,11.574,2.662,14.236,T
