tenor,real_cod,spread,rating,offset,real_cod_A
1.0,0.023307334,0.001831866,A,0.431027328,0.025784822
2.0,0.024379298,0.001831866,A,0.431027328,0.026859382
3.0,0.025759796,0.002161602,A,0.431027328,0.028690876
4.0,0.027141127,0.002491338,A,0.431027328,0.030524607
5.0,0.028526199,0.002765902,A,0.431027328,0.032288312
6.0,0.030027909,0.003040898,A,0.431027328,0.034170856
7.0,0.031605908,0.003260722,A,0.431027328,0.036055796
8.0,0.033286548,0.003480546,A,0.431027328,0.038044858
9.0,0.034902532,0.003604251,A,0.431027328,0.039838071
10.0,0.036371672,0.003631836,A,0.431027328,0.041352137
11.0,0.037713766,0.003658991,A,0.431027328,0.042738056
12.0,0.038863759,0.003686577,A,0.431027328,0.043931631
13.0,0.039764629,0.00370037,A,0.431027328,0.04485592
14.0,0.0404022,0.00370037,A,0.431027328,0.045496613
15.0,0.040800751,0.00370037,A,0.431027328,0.045897115
16.0,0.040994358,0.00370037,A,0.431027328,0.04609167
17.0,0.041029752,0.00370037,A,0.431027328,0.046127237
18.0,0.040967292,0.00370037,A,0.431027328,0.046064472
19.0,0.040865282,0.00370037,A,0.431027328,0.045961962
20.0,0.04077265,0.00370037,A,0.431027328,0.045868876
21.0,0.040712287,0.00370037,A,0.431027328,0.045808217
22.0,0.0406717,0.00370037,A,0.431027328,0.045767431
23.0,0.040654008,0.00370037,A,0.431027328,0.045749654
24.0,0.040662334,0.00370037,A,0.431027328,0.04575802
25.0,0.040700839,0.00370037,A,0.431027328,0.045796713
26.0,0.040775772,0.00370037,A,0.431027328,0.045872013
27.0,0.040894427,0.00370037,A,0.431027328,0.04599125
28.0,0.041062025,0.00370037,A,0.431027328,0.046159668
29.0,0.041282753,0.00370037,A,0.431027328,0.046381477
30.0,0.04155248,0.00370037,A,0.431027328,0.046652525
