tenor,market_erp
1.0,0.027225
2.0,0.025804
3.0,0.0245
4.0,0.023305
5.0,0.022209
6.0,0.021204
7.0,0.020283
8.0,0.019437
9.0,0.018662
10.0,0.017952
11.0,0.0173
12.0,0.016703
13.0,0.016155
14.0,0.015652
15.0,0.015191
16.0,0.014769
17.0,0.014381
18.0,0.014026
19.0,0.0137
20.0,0.013401
21.0,0.013127
22.0,0.012876
23.0,0.012646
24.0,0.012434
25.0,0.012241
26.0,0.012063
27.0,0.0119
28.0,0.011751
29.0,0.011614
30.0,0.011488
