cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
US37833DY3,Apple Inc. 1.25% 20-AUG-2030,0.044199999999999996,0.8822,0.0125,2030-08-20,4.1067761806981515,1250000000.0,1000.0,AA+,"Apple, Inc."
AAPL607026,9Apple Inc. 4.2% 12-MAY-2030D,0.044000000000000004,0.9956999999999999,0.042,2030-05-12,3.8329911019849416,1000000000.0,1000.0,AA+,"Apple, Inc."
AAPL558491,3Apple Inc. 4.15% 10-MAY-2030D,0.0438,0.992,0.0415,2030-05-10,3.8275154004106775,500000000.0,1000.0,AA+,"Apple, Inc."
US37833EN6,Apple Inc. 3.25% 08-AUG-2029,0.0435,0.9691,0.0325,2029-08-08,3.07460643394935,1000000000.0,1000.0,AA+,"Apple, Inc."
US37833DP2,Apple Inc. 2.2% 11-SEP-2029,0.043,0.9384999999999999,0.022000000000000002,2029-09-11,3.167693360711841,1750000000.0,1000.0,AA+,"Apple, Inc."
AAPL558491,2Apple Inc. 4.0% 10-MAY-2028D,0.042800000000000005,0.9961,0.04,2028-05-10,1.8288843258042438,1500000000.0,1000.0,AA+,"Apple, Inc."
,APC1Apple Inc. 2.9% 12-SEP-2027,0.042300000000000004,0.9851000000000001,0.028999999999999998,2027-09-12,1.1690622861054072,2000000000.0,1000.0,AA+,"Apple, Inc."
AAPL607026,8Apple Inc. 4.0% 12-MAY-2028D,0.042199999999999994,0.9961,0.04,2028-05-12,1.834360027378508,1500000000.0,1000.0,AA+,"Apple, Inc."
,APC4Apple Inc. 3.0% 13-NOV-2027,0.0421,0.9843999999999999,0.03,2027-11-13,1.3388090349075976,1500000000.0,1000.0,AA+,"Apple, Inc."
US37833EH9,Apple Inc. 1.4% 05-AUG-2028,0.042,0.9454,0.013999999999999999,2028-08-05,2.0670773442847366,2300000000.0,1000.0,AA+,"Apple, Inc."
US37833EC0,Apple Inc. 1.2% 08-FEB-2028,0.042,0.955,0.012,2028-02-08,1.5770020533880904,2500000000.0,1000.0,AA+,"Apple, Inc."
,APCXApple Inc. 3.0% 20-JUN-2027,0.040999999999999995,0.9901000000000001,0.03,2027-06-20,0.9390828199863107,1000000000.0,1000.0,AA+,"Apple, Inc."
US37833CR9,Apple Inc. 3.2% 11-MAY-2027,0.0408,0.9929000000000001,0.032,2027-05-11,0.8295687885010267,2000000000.0,1000.0,AA+,"Apple, Inc."
,APCUApple Inc. 3.35% 09-FEB-2027,0.0407,0.9959,0.0335,2027-02-09,0.5804243668720055,2250000000.0,1000.0,AA+,"Apple, Inc."
US37833BZ2,Apple Inc. 2.45% 04-AUG-2026,0.0403,0.9992,0.0245,2026-08-04,0.06297056810403832,2250000000.0,1000.0,AA+,"Apple, Inc."
US037833DN,70Apple Inc. 2.05% 11-SEP-2026D,0.0379,0.9972,0.020499999999999997,2026-09-11,0.16700889801505817,2000000000.0,1000.0,AA+,"Apple, Inc."
,APC7Apple Inc. 0.5% 15-NOV-2031,0.0315,0.8714,0.005,2031-11-15,5.344284736481861,1000000000.0,1000.0,AA+,"Apple, Inc."
XS16193126,8Apple Inc. 1.375% 24-MAY-2029,0.028999999999999998,0.9588,0.0138,2029-05-24,2.86652977412731,1250000000.0,1000.0,AA+,"Apple, Inc."
XS12923894,1Apple Inc. 2.0% 17-SEP-2027,0.028300000000000002,0.9904999999999999,0.02,2027-09-17,1.1827515400410678,1000000000.0,1000.0,AA+,"Apple, Inc."
XS11353374,9Apple Inc. 1.625% 10-NOV-2026,0.0265,0.9967,0.0163,2026-11-10,0.33127994524298426,1400000000.0,1000.0,AA+,"Apple, Inc."
,APCGApple Inc. 0.75% 25-FEB-2030,0.0068000000000000005,1.0021,0.0075,2030-02-25,3.6249144421629023,375000000.0,5000.0,AA+,"AT&T, Inc."
