tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,1.8798,2.1054,0.0626,0.1808,2.3488,4.2286
2.0,1.9504,2.0161,0.0626,0.2556,2.3344,4.2848
3.0,2.023,1.9343,0.1173,0.3131,2.3646,4.3876
4.0,2.1075,1.8592,0.1717,0.3615,2.3924,4.4999
5.0,2.2144,1.7904,0.2082,0.4042,2.4028,4.6172
6.0,2.351,1.7273,0.2445,0.4428,2.4145,4.7655
7.0,2.5153,1.6694,0.2777,0.4782,2.4254,4.9407
8.0,2.6985,1.6164,0.311,0.5112,2.4387,5.1372
9.0,2.8881,1.5677,0.3263,0.5423,2.4363,5.3244
10.0,3.0715,1.5231,0.3237,0.5716,2.4184,5.4899
11.0,3.2378,1.4822,0.3212,0.5995,2.4028,5.6406
12.0,3.3783,1.4446,0.3186,0.6261,2.3893,5.7676
13.0,3.4879,1.4102,0.319,0.6517,2.3809,5.8688
14.0,3.5654,1.3787,0.3224,0.6763,2.3775,5.9429
15.0,3.6125,1.3497,0.3259,0.7001,2.3757,5.9882
16.0,3.6325,1.3232,0.3294,0.723,2.3756,6.0081
17.0,3.6301,1.2989,0.3328,0.7453,2.377,6.0071
18.0,3.6103,1.2765,0.3363,0.7669,2.3796,5.9899
19.0,3.5782,1.2561,0.3397,0.7879,2.3837,5.9619
20.0,3.5383,1.2373,0.3432,0.8084,2.3888,5.9271
21.0,3.4934,1.2201,0.3432,0.8283,2.3916,5.885
22.0,3.4459,1.2043,0.3432,0.8478,2.3953,5.8412
23.0,3.3978,1.1899,0.3432,0.8669,2.3999,5.7977
24.0,3.351,1.1766,0.3432,0.8855,2.4053,5.7563
25.0,3.3077,1.1644,0.3432,0.9038,2.4113,5.719
26.0,3.2702,1.1533,0.3432,0.9217,2.4181,5.6883
27.0,3.2407,1.143,0.3432,0.9392,2.4254,5.6661
28.0,3.2214,1.1337,0.3432,0.9565,2.4333,5.6547
29.0,3.2132,1.1251,0.3432,0.9734,2.4417,5.6549
30.0,3.2158,1.1172,0.3432,0.99,2.4504,5.6662
