cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
AU3CB02569,1AT&T Inc. 4.6% 19-SEP-2028,0.053,0.9856999999999999,0.046,2028-09-19,2.190280629705681,400000000.0,10000.0,BBB,"AT&T, Inc."
T6299521AT,&T Inc. 4.75% 30-APR-2033D,0.0526,0.9709,0.0475,2033-04-30,6.80082135523614,2000000000.0,1000.0,BBB,"AT&T, Inc."
T4833818AT,&T Inc. 6.5% 15-NOV-2036D,0.0525,1.0985,0.065,2036-11-15,10.346338124572211,124660000.0,1000.0,BBB,"AT&T, Inc."
T4833789AT,&T Inc. 7.7% 01-MAY-2032D,0.0519,1.1244,0.077,2032-05-01,5.804243668720055,156910000.0,1000.0,BBB,"AT&T, Inc."
,TT.JHAT&T Corp. 8.75% 15-NOV-2031D,0.0518,1.1643999999999999,0.0875,2031-11-15,5.344284736481861,104510000.0,1000.0,BBB,AT&T Corp. /Old/
T6180943AT,&T Inc. 4.55% 01-NOV-2032D,0.0513,0.9688,0.0455,2032-11-01,6.308008213552362,1150000000.0,1000.0,BBB,"AT&T, Inc."
TT3668092B,ellSouth Telecommunications LLC 6.375% 01-JUN-2028D,0.051100000000000007,1.0223,0.0638,2028-06-01,1.88911704312115,166680000.0,1000.0,BBB,BellSouth Telecommunications LLC
,"TT.KXNew Cingular Wireless Services, Inc. 8.75% 01-MAR-2031D",0.051100000000000007,1.1487,0.0875,2031-03-01,4.635181382614648,228890000.0,1000.0,BBB,"New Cingular Wireless Services, Inc."
T4763019AT,&T Inc. 7.125% 15-DEC-2031D,0.051100000000000007,1.0944,0.0713,2031-12-15,5.426420260095825,148730000.0,1000.0,BBB,"AT&T, Inc."
US206RKH4A,T&T Inc. 2.25% 01-FEB-2032,0.0507,0.8649,0.0225,2032-02-01,5.557837097878165,2500000000.0,1000.0,BBB,"AT&T, Inc."
T4763007AT,&T Inc. 8.75% 01-MAR-2031D,0.050300000000000004,1.1525,0.0875,2031-03-01,4.635181382614648,173640000.0,1000.0,BBB,
