field,value
long_name,Global Payments Inc.
sector,Industrials
industry,Specialty Business Services
country,United States
exchange,NYQ
currency,USD
market_cap,23363157895.36537
week52_high,95.87999725341797
week52_low,61.15999984741211
employees,26000
fetched_utc,2026-09-13T06:31:17Z
