field,value
ticker,AMCR
generated_utc,2026-09-05 18:31 UTC
generated_iso,2026-09-05T18:31:16Z
bonds_source,none (pure-rating)
n_bonds,0
run_id,33984294066
git_sha,a74b149
obs_category,B
ory_override,
obs_category_note,pre-Ruling-2 (2026-09-17); this field never prices a company -- see docs/RULING-COE-Display-And-Default-Letter-2026-09-17.md
