tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,1.9504,2.3074,0.0381,0.0,2.3455,4.2959
2.0,2.0148,2.2022,0.0381,0.0,2.2403,4.2551
3.0,2.0799,2.1057,0.0738,0.0,2.1795,4.2594
4.0,2.1578,2.0173,0.1096,0.0,2.1269,4.2847
5.0,2.2623,1.9362,0.1317,0.0,2.0679,4.3302
6.0,2.4028,1.8618,0.1537,0.0,2.0155,4.4183
7.0,2.5756,1.7936,0.177,0.0,1.9706,4.5462
8.0,2.7692,1.731,0.2001,0.0,1.9311,4.7003
9.0,2.9686,1.6737,0.2094,0.0,1.8831,4.8517
10.0,3.1593,1.6211,0.2053,0.0,1.8264,4.9857
11.0,3.3299,1.5729,0.2009,0.0,1.7738,5.1037
12.0,3.4725,1.5286,0.1967,0.0,1.7253,5.1978
13.0,3.5833,1.4881,0.1961,0.0,1.6842,5.2675
14.0,3.6619,1.4509,0.1993,0.0,1.6502,5.3121
15.0,3.7103,1.4168,0.2025,0.0,1.6193,5.3296
16.0,3.7317,1.3855,0.2056,0.0,1.5911,5.3228
17.0,3.7307,1.3568,0.2088,0.0,1.5656,5.2963
18.0,3.7116,1.3305,0.2122,0.0,1.5427,5.2543
19.0,3.6789,1.3064,0.2152,0.0,1.5216,5.2005
20.0,3.6365,1.2843,0.2185,0.0,1.5028,5.1393
21.0,3.5872,1.264,0.2185,0.0,1.4825,5.0697
22.0,3.5329,1.2454,0.2185,0.0,1.4639,4.9968
23.0,3.476,1.2284,0.2185,0.0,1.4469,4.9229
24.0,3.4188,1.2128,0.2185,0.0,1.4313,4.8501
25.0,3.3641,1.1984,0.2185,0.0,1.4169,4.781
26.0,3.315,1.1853,0.2185,0.0,1.4038,4.7188
27.0,3.2745,1.1732,0.2185,0.0,1.3917,4.6662
28.0,3.2456,1.1622,0.2185,0.0,1.3807,4.6263
29.0,3.2298,1.152,0.2185,0.0,1.3705,4.6003
30.0,3.2267,1.1427,0.2185,0.0,1.3612,4.5879
