field,value_pct
real_rf,2.5243
market_erp,3.3768
idiosyncratic,6.2342
company_erp,9.6110
real_coe,12.1353
cf_growth,2.0
methodology_note,"real_rf/market_erp: Decision-B state-machine (duration-weighted spot average, ERP_effective_latest.csv). idiosyncratic: cash-flow-PV YTM collapse of the same-day forward curve (different methodology, different curve representation). real_coe/company_erp add the two together -- see AEG-ERP-TASK5-LANDED-2026-08-12.md."
