yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1973,7.31,14.07,6.7,13.17,1.47
1974,8.28,15.88,7.51,14.78,1.57
1975,9.47,16.81,9.32,16.78,1.56
1976,9.15,16.49,9.55,16.87,1.35
1977,8.22,16.05,8.68,16.32,1.56
1978,7.65,16.07,7.54,15.65,1.17
1979,7.62,16.67,7.29,16.07,1.21
1980,9.9,18.66,9.08,18.09,2.44
1981,9.38,17.06,9.58,17.78,1.33
1982,11.0,17.07,9.63,16.45,2.51
1983,8.74,13.84,9.14,14.6,1.27
1984,8.22,12.73,8.75,13.53,0.84
1985,9.15,13.3,9.03,13.31,1.79
1986,7.99,11.76,8.66,12.55,1.04
1987,8.63,12.7,8.32,12.31,1.17
1988,9.05,13.17,8.76,12.84,0.96
1989,9.6,13.74,9.65,13.81,1.23
1990,7.24,11.37,8.8,12.94,1.02
1991,8.1,11.72,7.94,11.78,1.63
1992,7.55,10.89,7.78,11.24,0.91
1993,7.51,10.62,7.75,10.97,0.88
1994,8.15,11.1,7.84,10.85,1.21
1995,8.15,10.96,8.32,11.21,0.86
1996,8.62,11.37,8.64,11.42,1.21
1997,9.09,11.58,9.11,11.71,1.45
1998,9.81,12.25,9.62,12.07,1.46
1999,11.15,13.73,10.68,13.19,1.62
2000,11.02,13.68,11.44,14.1,2.3
2001,9.54,11.99,10.77,13.36,1.43
2002,9.22,11.74,9.05,11.5,2.13
2003,8.51,11.05,8.56,11.1,0.98
2004,7.58,10.34,8.27,10.94,0.83
2005,6.67,9.51,7.05,9.86,0.72
2006,7.12,9.85,7.02,9.84,1.05
2007,6.19,8.97,6.7,9.42,0.9
2008,9.52,11.77,7.4,10.07,1.98
2009,8.14,10.34,8.36,10.41,0.99
2010,8.01,10.05,7.96,10.04,0.78
2011,8.43,10.52,8.31,10.45,1.45
2012,7.73,9.59,8.15,10.1,0.91
2013,5.56,7.29,6.36,8.13,1.05
2014,5.3,6.91,5.15,6.85,1.15
2015,5.4,7.05,5.34,6.91,0.84
2016,5.3,7.24,4.99,6.78,1.11
2017,5.06,7.22,5.08,7.14,1.07
2018,6.16,8.5,5.71,8.01,1.78
2019,5.08,7.69,5.56,8.02,0.81
2020,9.07,11.99,7.97,10.69,0.9
2021,9.51,13.38,9.42,12.88,1.47
2022,7.72,11.71,7.99,12.07,0.95
2023,6.4,9.94,6.87,10.57,0.89
2024,7.46,10.81,6.92,10.34,1.37
2025,7.13,10.41,7.32,10.62,1.13
2026,8.28,11.62,8.02,11.35,2.04
