field,value
erp_vintage,2026-08-26
erp_vintage_date,2026-08-26
eff_tips_ry_pct,2.5971
eff_erp_pct,3.3855
eff_coe_pct,5.9826
equity_duration_yrs,25.27
forward_curve_file,TODAY_forward_curve_latest.csv
vintage_age_days,1
vintage_stale,false
overlay_applied_utc,2026-08-27T22:04:26Z
