yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1981,10.84,18.52,10.84,18.52,2.79
1982,11.68,17.74,10.75,17.56,3.19
1983,10.75,15.86,11.19,16.65,3.28
1984,11.33,15.84,10.69,15.48,3.95
1985,9.18,13.33,10.31,14.59,1.82
1986,15.53,19.3,12.66,16.55,8.59
1987,12.21,16.29,13.57,17.56,4.76
1988,10.96,15.08,11.47,15.54,2.87
1989,10.98,15.11,11.29,15.45,2.61
1990,9.84,13.97,10.67,14.81,3.61
1991,9.25,12.86,9.91,13.75,2.77
1992,8.66,12.01,8.99,12.45,2.02
1993,8.35,11.46,9.16,12.38,1.72
1994,9.26,12.21,8.59,11.61,2.33
1995,9.18,11.99,8.9,11.8,1.89
1996,10.07,12.82,9.74,12.52,2.66
1997,10.63,13.12,9.95,12.55,2.99
1998,10.57,13.02,9.69,12.13,2.22
1999,12.8,15.38,11.88,14.39,3.26
2000,13.57,16.23,13.48,16.14,4.85
2001,9.85,12.3,11.68,14.27,1.75
2002,9.06,11.58,9.41,11.86,1.97
2003,8.93,11.48,9.28,11.82,1.41
2004,7.94,10.7,8.67,11.33,1.2
2005,7.23,10.07,7.7,10.51,1.29
2006,7.34,10.07,7.49,10.31,1.26
2007,6.55,9.33,6.83,9.55,1.26
2008,8.69,10.94,6.96,9.63,1.16
2009,8.25,10.46,8.69,10.74,1.11
2010,8.65,10.69,8.23,10.3,1.42
2011,8.25,10.34,9.13,11.27,1.27
2012,8.69,10.55,8.46,10.41,1.87
2013,5.61,7.34,7.02,8.79,1.1
2014,5.48,7.08,5.65,7.36,1.32
2015,5.67,7.32,5.74,7.3,1.11
2016,5.25,7.19,5.5,7.29,1.06
2017,5.92,8.08,5.74,7.81,1.93
2018,6.06,8.41,5.91,8.2,1.68
2019,5.93,8.55,5.85,8.31,1.66
2020,9.6,12.52,9.02,11.74,1.43
2021,10.34,14.21,10.22,13.68,2.3
2022,9.35,13.34,9.03,13.11,2.58
2023,7.25,10.79,7.57,11.28,1.73
2024,8.16,11.5,8.15,11.56,2.07
2025,7.76,11.04,8.03,11.32,1.76
2026,9.39,12.74,8.46,11.78,3.16
