,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
2024-09,1.797,3.756,2.084,7.637,3.337,10.974,NKE
2024-10,2.046,3.742,2.61,8.398,3.339,11.736,NKE
2024-11,2.027,3.78,2.408,8.215,3.341,11.556,NKE
2024-12,2.297,3.793,2.067,8.157,3.343,11.499,NKE
2025-01,2.229,3.814,1.243,7.286,3.343,10.63,NKE
2025-02,1.967,3.852,1.369,7.188,3.323,10.511,NKE
2025-03,2.041,3.77,2.082,7.893,3.284,11.177,NKE
2025-04,2.076,3.707,2.889,8.672,3.272,11.944,NKE
2025-05,2.242,3.746,2.628,8.616,3.271,11.886,NKE
2025-06,2.162,3.755,2.388,8.305,3.29,11.595,NKE
2025-07,2.211,3.788,1.949,7.948,3.29,11.238,NKE
2025-08,2.114,3.818,1.719,7.651,3.303,10.954,NKE
2025-09,2.027,3.846,2.203,8.076,3.308,11.384,NKE
2025-10,2.022,3.862,2.638,8.522,3.296,11.818,NKE
2025-11,2.042,3.869,2.481,8.392,3.284,11.676,NKE
2025-12,2.12,3.879,1.758,7.757,3.279,11.036,NKE
2026-01,2.123,3.883,1.598,7.604,3.257,10.861,NKE
2026-02,1.956,3.88,1.582,7.418,3.259,10.678,NKE
2026-03,2.261,3.797,1.868,7.926,3.324,11.25,NKE
2026-04,2.153,3.867,3.126,9.146,3.367,12.513,NKE
2026-05,2.202,3.915,3.144,9.261,3.401,12.662,NKE
2026-06,2.349,3.887,3.158,9.394,3.347,12.741,NKE
