tenor,corridor_skew,erp
1.0,0.0001,0.0001
2.0,0.0,0.0
3.0,0.0007,0.0007
4.0,0.0023,0.0023
5.0,0.0034,0.0034
6.0,0.0013,0.0013
7.0,0.0013,0.0013
8.0,0.0013,0.0013
9.0,0.0013,0.0013
10.0,0.0013,0.0013
11.0,0.0013,0.0013
12.0,0.0013,0.0013
13.0,0.0013,0.0013
14.0,0.0013,0.0013
15.0,0.0013,0.0013
16.0,0.0013,0.0013
17.0,0.0013,0.0013
18.0,0.0013,0.0013
19.0,0.0013,0.0013
20.0,0.0013,0.0013
21.0,0.0013,0.0013
22.0,0.0013,0.0013
23.0,0.0013,0.0013
24.0,0.0013,0.0013
25.0,0.0013,0.0013
26.0,0.0013,0.0013
27.0,0.0013,0.0013
28.0,0.0013,0.0013
29.0,0.0013,0.0013
30.0,0.0013,0.0013
