field,value
ticker,PEP
generated_utc,2026-09-03 18:23 UTC
generated_iso,2026-09-03T18:23:22Z
bonds_source,committed-file
n_bonds,7
run_id,33790117728
git_sha,933001b
obs_category,B
ory_override,
