yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1963,8.14,10.08,8.38,10.2,1.4
1964,8.05,10.21,8.06,10.11,1.54
1965,7.45,10.06,7.49,9.89,1.33
1966,7.27,10.46,7.67,10.62,1.86
1967,6.97,10.59,6.94,10.32,1.17
1968,6.39,10.66,6.63,10.63,0.79
1969,6.94,11.76,6.78,11.35,1.98
1970,7.53,12.6,7.94,12.9,1.91
1971,8.03,13.19,7.58,12.68,0.94
1972,8.65,14.29,8.42,13.81,1.45
1973,7.73,14.48,7.82,14.05,1.89
1974,8.74,16.33,7.76,15.03,2.03
1975,9.56,16.9,9.23,16.69,1.65
1976,9.53,16.86,9.67,16.99,1.73
1977,7.61,15.43,8.66,16.3,0.95
1978,8.29,16.7,7.66,15.77,1.8
1979,7.51,16.56,7.56,16.34,1.11
1980,9.39,18.15,8.57,17.57,1.93
1981,9.68,17.35,9.36,17.56,1.62
1982,9.43,15.49,9.63,16.45,0.94
1983,8.53,13.63,8.76,14.22,1.06
1984,8.86,13.37,8.95,13.74,1.49
1985,8.74,12.9,8.92,13.2,1.39
1986,9.06,12.83,8.6,12.48,2.12
1987,9.56,13.63,8.74,12.73,2.1
1988,8.74,12.86,9.1,13.18,0.65
1989,9.32,13.46,9.08,13.24,0.95
1990,7.55,11.68,8.76,12.9,1.32
1991,8.31,11.92,7.81,11.65,1.83
1992,7.72,11.07,7.92,11.39,1.08
1993,8.33,11.45,8.55,11.78,1.7
1994,8.33,11.28,8.12,11.14,1.4
1995,8.43,11.24,8.15,11.04,1.14
1996,8.25,11.0,8.62,11.4,0.84
1997,9.41,11.9,8.74,11.33,1.77
1998,10.89,13.34,10.08,12.53,2.54
1999,12.73,15.31,11.46,13.97,3.19
2000,12.09,14.75,12.8,15.46,3.37
2001,10.23,12.68,10.38,12.97,2.12
2002,9.2,11.72,9.51,11.96,2.1
2003,10.89,13.43,9.33,11.87,3.37
2004,9.46,12.22,9.55,12.21,2.72
2005,8.0,10.84,8.88,11.69,2.06
2006,7.3,10.02,7.63,10.44,1.22
2007,6.54,9.32,6.77,9.48,1.24
2008,11.25,13.5,7.96,10.63,3.71
2009,8.73,10.94,9.48,11.53,1.59
2010,9.04,11.08,9.21,11.28,1.81
2011,8.54,10.63,8.71,10.85,1.57
2012,8.46,10.32,8.17,10.11,1.64
2013,5.86,7.59,6.48,8.25,1.35
2014,5.54,7.14,5.28,6.98,1.38
2015,6.06,7.71,6.02,7.58,1.5
2016,5.27,7.22,5.2,6.98,1.09
2017,5.75,7.91,5.4,7.46,1.76
2018,6.37,8.72,5.54,7.84,2.0
2019,5.5,8.12,6.1,8.56,1.23
2020,9.75,12.67,8.62,11.35,1.58
2021,11.11,14.98,10.15,13.61,3.07
2022,9.22,13.21,9.16,13.24,2.44
2023,6.85,10.39,7.38,11.08,1.34
2024,7.61,10.95,7.42,10.83,1.52
2025,7.9,11.18,7.4,10.7,1.9
2026,8.82,12.17,8.12,11.45,2.59
