field,value
long_name,"Meta Platforms, Inc."
sector,Communication Services
industry,Internet Content & Information
country,United States
exchange,NMS
currency,USD
market_cap,1562844069157.019
week52_high,790.7999877929688
week52_low,520.260009765625
employees,75472
fetched_utc,2026-09-09T04:54:32Z
