tenor,real_cod,spread,rating,offset,real_cod_A
1.0,2.304,0.1832,A,0.431,2.5458
2.0,2.4087,0.1832,A,0.431,2.6505
3.0,2.5434,0.2162,A,0.431,2.8287
4.0,2.6779,0.2491,A,0.431,3.0068
5.0,2.8127,0.2766,A,0.431,3.1778
6.0,2.9586,0.3041,A,0.431,3.36
7.0,3.1117,0.3261,A,0.431,3.5421
8.0,3.2745,0.3481,A,0.431,3.7339
9.0,3.4307,0.3604,A,0.431,3.9065
10.0,3.5726,0.3632,A,0.431,4.052
11.0,3.702,0.3659,A,0.431,4.185
12.0,3.8128,0.3687,A,0.431,4.2994
13.0,3.8994,0.37,A,0.431,4.3879
14.0,3.9607,0.37,A,0.431,4.4492
15.0,3.999,0.37,A,0.431,4.4875
16.0,4.0176,0.37,A,0.431,4.5061
17.0,4.021,0.37,A,0.431,4.5095
18.0,4.015,0.37,A,0.431,4.5035
19.0,4.0052,0.37,A,0.431,4.4937
20.0,3.9963,0.37,A,0.431,4.4848
21.0,3.9905,0.37,A,0.431,4.479
22.0,3.9866,0.37,A,0.431,4.4751
23.0,3.9849,0.37,A,0.431,4.4734
24.0,3.9857,0.37,A,0.431,4.4742
25.0,3.9894,0.37,A,0.431,4.4779
26.0,3.9966,0.37,A,0.431,4.4851
27.0,4.008,0.37,A,0.431,4.4965
28.0,4.0241,0.37,A,0.431,4.5126
29.0,4.0453,0.37,A,0.431,4.5338
30.0,4.0712,0.37,A,0.431,4.5597
