field,value
ticker,NU
generated_utc,2026-08-20 05:50 UTC
generated_iso,2026-08-20T05:50:15Z
bonds_source,committed-file
n_bonds,9
run_id,32337084330
git_sha,0b77fbb
obs_category,C
ory_override,
