field,value
ticker,XOM
price,158.3000030517578
market_equity,650915675816.5594
nfo,48943000000.0
L,0.0699326902576378
lambda0,0.07519099910845146
market_value_of_debt,43537000000.0
rating,BBB
offset,1.0
mvd_basis,book-par
