cusip,description,ytw,price_frac,coupon,maturity,years,outstanding,face,sp_rating,issuer
US478160CE,22 JOHNSON & JOHNSON 2.95% 03Mar2027,0.0417,0.99291,0.0295,2027-03-03,0.6406570841889117,2995812500.0,1000.0,,Johnson & Johnson
US478160CK,81 JOHNSON & JOHNSON 2.9% 15Jan2028,0.041697,0.9823,0.029,2028-01-15,1.51129363449692,2995812500.0,1000.0,,Johnson & Johnson
US478160AJ,37 JOHNSON & JOHNSON 6.95% 01Sep2029,0.043271,1.07478,0.0695,2029-09-01,3.14031485284052,2995812500.0,1000.0,,Johnson & Johnson
US478160AL,82 JOHNSON & JOHNSON 4.95% 15May2033,0.0459,1.01756,0.0495,2033-05-15,6.841889117043121,2995812500.0,1000.0,,Johnson & Johnson
US478160BJ,28 JOHNSON & JOHNSON 4.375% 05Dec2033,0.0469,0.97666,0.04375,2033-12-05,7.40041067761807,2995812500.0,1000.0,,Johnson & Johnson
US478160BU,72 JOHNSON & JOHNSON 3.55% 01Mar2036,0.0494,0.88872,0.0355,2036-03-01,9.637234770704996,2995812500.0,1000.0,,Johnson & Johnson
US478160CF,96 JOHNSON & JOHNSON 3.625% 03Mar2037,0.0505,0.87883,0.03625,2037-03-03,10.642026009582478,2995812500.0,1000.0,,Johnson & Johnson
US478160AN,49 JOHNSON & JOHNSON 5.95% 15Aug2037,0.0499,1.08095,0.0595,2037-08-15,11.093771389459274,2995812500.0,1000.0,,Johnson & Johnson
US478160CL,64 JOHNSON & JOHNSON 3.4% 15Jan2038,0.0512,0.84885,0.034,2038-01-15,11.512662559890487,2995812500.0,1000.0,,Johnson & Johnson
US478160AT,19 JOHNSON & JOHNSON 5.85% 15Jul2038,0.0509,1.0554,0.0585,2038-07-15,12.008213552361397,2995812500.0,1000.0,,Johnson & Johnson
US478160AV,64 JOHNSON & JOHNSON 4.5% 01Sep2040,0.052,0.92251,0.045,2040-09-01,14.140999315537304,2995812500.0,1000.0,,Johnson & Johnson
US478160BA,19 JOHNSON & JOHNSON 4.85% 15May2041,0.0524,0.95723,0.0485,2041-05-15,14.841889117043122,2995812500.0,1000.0,,Johnson & Johnson
US478160BK,90 JOHNSON & JOHNSON 4.5% 05Dec2043,0.0537,0.88997,0.045,2043-12-05,17.399041752224505,2995812500.0,1000.0,,Johnson & Johnson
US478160BV,55 JOHNSON & JOHNSON 3.7% 01Mar2046,0.0558,0.76644,0.037,2046-03-01,19.63586584531143,2995812500.0,1000.0,,Johnson & Johnson
US478160CG,79 JOHNSON & JOHNSON 3.75% 03Mar2047,0.05635,0.75944,0.0375,2047-03-03,20.640657084188913,2995812500.0,1000.0,,Johnson & Johnson
US478160CM,48 JOHNSON & JOHNSON 3.5% 15Jan2048,0.05635,0.72458,0.035,2048-01-15,21.51129363449692,2995812500.0,1000.0,,Johnson & Johnson
