tenor,real_rf,market_erp,credit_relative,idiosyncratic,company_erp,real_coe
1.0,1.777,2.5091,-0.1077,0.0,2.4014,4.1784
2.0,1.8833,2.3822,-0.1077,0.0,2.2745,4.1578
3.0,1.9832,2.2658,-0.1474,0.0,2.1184,4.1016
4.0,2.0818,2.1591,-0.1869,0.0,1.9722,4.054
5.0,2.1902,2.0612,-0.2121,0.0,1.8491,4.0393
6.0,2.3189,1.9715,-0.2371,0.0,1.7344,4.0533
7.0,2.4693,1.8892,-0.262,0.0,1.6272,4.0965
8.0,2.6356,1.8137,-0.287,0.0,1.5267,4.1623
9.0,2.8088,1.7445,-0.299,0.0,1.4455,4.2543
10.0,2.9779,1.6811,-0.2978,0.0,1.3833,4.3612
11.0,3.1327,1.6229,-0.297,0.0,1.3259,4.4586
12.0,3.2663,1.5695,-0.2958,0.0,1.2737,4.54
13.0,3.374,1.5206,-0.2966,0.0,1.224,4.598
14.0,3.4534,1.4757,-0.2995,0.0,1.1762,4.6296
15.0,3.5043,1.4346,-0.3024,0.0,1.1322,4.6365
16.0,3.528,1.3969,-0.3051,0.0,1.0918,4.6198
17.0,3.5271,1.3623,-0.3078,0.0,1.0545,4.5816
18.0,3.5052,1.3305,-0.3106,0.0,1.0199,4.5251
19.0,3.466,1.3014,-0.3134,0.0,0.988,4.454
20.0,3.4135,1.2748,-0.3162,0.0,0.9586,4.3721
21.0,3.3513,1.2503,-0.3162,0.0,0.9341,4.2854
22.0,3.2827,1.2279,-0.3162,0.0,0.9117,4.1944
23.0,3.2106,1.2073,-0.3162,0.0,0.8911,4.1017
24.0,3.1379,1.1884,-0.3162,0.0,0.8722,4.0101
25.0,3.0678,1.1711,-0.3162,0.0,0.8549,3.9227
26.0,3.0039,1.1553,-0.3162,0.0,0.8391,3.843
27.0,2.9495,1.1407,-0.3162,0.0,0.8245,3.774
28.0,2.9076,1.1274,-0.3162,0.0,0.8112,3.7188
29.0,2.8799,1.1152,-0.3162,0.0,0.799,3.6789
30.0,2.8658,1.1039,-0.3162,0.0,0.7877,3.6535
