date,mkey,Epi_1y,Epi_5y,Epi_10y,Epi_20y,Epi_30y
1876-09-30,1876-09,-2.986971870258221,-0.4927098700930973,-0.012856169638399362,0.22793375741394442,0.3081975848113344
1876-10-31,1876-10,-2.3771604823709556,-0.3230497233927838,0.07212634422731007,0.2704251515615214,0.3365251809100145
1876-11-30,1876-11,-1.752475645998619,-0.14925152433392197,0.1591816023336487,0.3139529211761135,0.3655436939867118
1876-12-31,1876-12,-1.752475645998619,-0.14925152433392197,0.1591816023336487,0.3139529211761135,0.3655436939867118
1877-01-31,1877-01,-1.752475645998619,-0.14925152433392197,0.1591816023336487,0.3139529211761135,0.3655436939867118
1877-02-28,1877-02,-1.752475645998619,-0.14925152433392197,0.1591816023336487,0.3139529211761135,0.3655436939867118
1877-03-31,1877-03,-1.1123664926788286,0.028837988281945892,0.24838637298582134,0.35855545053427507,0.3952787135591296
1877-04-30,1877-04,-1.7767835885297516,-0.15601441721806908,0.15579407939749013,0.31225915423846173,0.3644145160282655
1877-05-31,1877-05,-0.4562546105260368,0.21137973871321225,0.33982126290429926,0.4042730431263911,0.42575710862085814
1877-06-30,1877-06,-0.4647700827988098,0.20901058604778483,0.3386345578757146,0.4036796886960175,0.42536153900060497
1877-07-31,1877-07,-1.1289769200750968,0.024216678144446835,0.24607156564611374,0.35739804312688006,0.39450710862085825
1877-08-31,1877-08,-1.8016992296241634,-0.16294638242432025,0.15232186838792738,0.31052304312736856,0.363257108620858
1877-09-30,1877-09,-1.8272456464424822,-0.17005384042060245,0.1487617533021735,0.30874297983624793,0.3620703997600985
1877-10-31,1877-10,-1.8272456464424822,-0.17005384042060245,0.1487617533021735,0.30874297983624793,0.3620703997600985
1877-11-30,1877-11,-2.5084834282643214,-0.359586053654797,0.053825351015402534,0.2612746254063629,0.3304248301398452
1877-12-31,1877-12,-3.1897212100861543,-0.5491182668889897,-0.041111051271367605,0.2138062709764783,0.29877926051959214
1878-01-31,1878-01,-3.1897212100861543,-0.5491182668889897,-0.041111051271367605,0.2138062709764783,0.29877926051959214
1878-02-28,1878-02,-3.1897212100861543,-0.5491182668889897,-0.041111051271367605,0.2138062709764783,0.29877926051959214
1878-03-31,1878-03,-3.8709589919079876,-0.7386504801231827,-0.13604745355813774,0.1663379165465937,0.267133690899339
1878-04-30,1878-04,-3.923361898201981,-0.7532298811411992,-0.14335025373404398,0.1626865046673714,0.26469941631316546
1878-05-31,1878-05,-5.233434555551661,-1.1177149065915701,-0.3259202581316789,0.07140120768682406,0.20384255165883264
1878-06-30,1878-06,-5.303305097276976,-1.137154107948923,-0.33565732503288603,0.06653265851452828,0.20059685221060158
1878-07-31,1878-07,-4.613333497739479,-0.9451919945450612,-0.23950378938346506,0.1146095815909498,0.23264813426188352
1878-08-31,1878-08,-3.97712591894516,-0.7681879678999411,-0.15084273703140116,0.15894025092115688,0.2622019138156631
1878-09-30,1878-09,-4.032304782339478,-0.7835396885207558,-0.158532390941847,0.1550954115500418,0.2596386875682263
1878-10-31,1878-10,-4.032304782339478,-0.7835396885207558,-0.158532390941847,0.1550954115500418,0.2596386875682263
1878-11-30,1878-11,-3.37138461857197,-0.5996601904181061,-0.0664274252145054,0.20114804312850953,0.2903404419541916
1878-12-31,1878-12,-3.4198691093502864,-0.6131494200086492,-0.0731841601520331,0.197769664750166,0.2880881897019391
1879-01-31,1879-01,-3.4198691093502864,-0.6131494200086492,-0.0731841601520331,0.197769664750166,0.2880881897019391
1879-02-28,1879-02,-2.69260174767562,-0.41081097615052264,0.028166863910871143,0.24844534042531355,0.3218719734857231
1879-03-31,1879-03,-1.9952220857958092,-0.2167878108071154,0.12535277739584683,0.2970384540864135,0.35426738259346086
1879-04-30,1879-04,-2.025939999473856,-0.22533406928057698,0.12107196930186476,0.2948980431275312,0.3528404419541911
1879-05-31,1879-05,-1.2995262379889527,-0.02323311185890481,0.2223040367637555,0.3455142403101019,0.3865845734095902
1879-06-30,1879-06,0.21646769902302326,0.3985427992819776,0.4335709601624847,0.4511480431259021,0.457007108620858
1879-07-31,1879-07,-0.5415292694829615,0.1876548437115373,0.3279374984631206,0.3983311417180022,0.42179584101522427
1879-08-31,1879-08,-0.5415292694829615,0.1876548437115373,0.3279374984631206,0.3983311417180022,0.42179584101522427
1879-09-30,1879-09,0.21646769902302326,0.3985427992819776,0.4335709601624847,0.4511480431259021,0.457007108620858
1879-10-31,1879-10,1.754118692278018,0.8263440805820128,0.6478559824669087,0.5582909002676416,0.5284356800494292
1879-11-30,1879-11,2.5229441889055155,1.0402447212320305,0.7549984936191207,0.6118623288385114,0.5641499657637148
1879-12-31,1879-12,4.116307174669768,1.483546048955985,0.977047466007041,0.7228871735578515,0.6381665289107135
1880-01-31,1880-01,6.456210860057809,2.1345479987603886,1.3031333695137741,0.8859306518170207,0.7468621810846263
1880-02-29,1880-02,5.598246175415528,1.8958472838321074,1.183568538227972,0.826148043121992,0.7070071086208582
1880-03-31,1880-03,5.598246175415528,1.8958472838321074,1.183568538227972,0.826148043121992,0.7070071086208582
1880-04-30,1880-04,5.676242964928471,1.9175473488255896,1.1944380683448643,0.8315828257306315,0.7106302970266558
1880-05-31,1880-05,5.676242964928471,1.9175473488255896,1.1944380683448643,0.8315828257306315,0.7106302970266558
1880-06-30,1880-06,4.060595182160522,1.468046002532069,0.9692835159235463,0.7190051859802518,0.6355785371922866
1880-07-31,1880-07,4.060595182160522,1.468046002532069,0.9692835159235463,0.7190051859802518,0.6355785371922866
1880-08-31,1880-08,4.060595182160522,1.468046002532069,0.9692835159235463,0.7190051859802518,0.6355785371922866
1880-09-30,1880-09,4.8294206787880185,1.6819466431820862,1.0764260270757582,0.7725766145511214,0.6712928229065721
1880-10-31,1880-10,3.2063446303521914,1.2303786240320493,0.8502362813099775,0.6594813764570631,0.5958959975097471
1880-11-30,1880-11,3.165387412114804,1.2189836127341027,0.8445285371846691,0.6566274951785539,0.5939934099907211
1880-12-31,1880-12,2.3982697840470117,1.0055581308563544,0.7376240323511958,0.603175070151344,0.5583584599722095
1881-01-31,1881-01,0.21646769902302326,0.3985427992819776,0.4335709601624847,0.4511480431259021,0.457007108620858
1881-02-28,1881-02,0.21646769902302326,0.3985427992819776,0.4335709601624847,0.4511480431259021,0.457007108620858
1881-03-31,1881-03,0.21646769902302326,0.3985427992819776,0.4335709601624847,0.4511480431259021,0.457007108620858
1881-04-30,1881-04,0.9245964459167695,0.5955565472490987,0.5322548520132061,0.5004901483885452,0.4899018454629631
1881-05-31,1881-05,1.6327251928105158,0.7925702952162199,0.6309387438639276,0.5498322536511884,0.5227965823050682
1881-06-30,1881-06,2.369179089580026,0.9974645931020297,0.7335699913886797,0.6011480431243381,0.5570071086208581
1881-07-31,1881-07,2.369179089580026,0.9974645931020297,0.7335699913886797,0.6011480431243381,0.5570071086208581
1881-08-31,1881-08,3.08674955309903,1.197105191042048,0.8335696684640785,0.651148043123817,0.5903404419541917
1881-09-30,1881-09,2.340853939704274,0.9895840431833444,0.7296226357146506,0.5991743589138323,0.5556913191471738
1881-10-31,1881-10,3.7571114334917666,1.3836115391175867,0.9269904194160934,0.6978585694391184,0.6214807928313841
1881-11-30,1881-11,3.012196777668479,1.17636331073659,0.8231800916250753,0.6459532379290656,0.5868772384909879
1881-12-31,1881-12,3.012196777668479,1.17636331073659,0.8231800916250753,0.6459532379290656,0.5868772384909879
1882-01-31,1882-01,2.313264508007109,0.9819081828729354,0.7257778087594269,0.5972519392282742,0.5544097060234552
1882-02-28,1882-02,2.313264508007109,0.9819081828729354,0.7257778087594269,0.5972519392282742,0.5544097060234552
1882-03-31,1882-03,3.012196777668479,1.17636331073659,0.8231800916250753,0.6459532379290656,0.5868772384909879
1882-04-30,1882-04,3.7111290473298366,1.3708184386002416,0.9205823744907221,0.694654536629856,0.6193447709585203
1882-05-31,1882-05,2.9763540971730134,1.1663912528974254,0.8181851027601688,0.6434557354315884,0.5852122368259858
1882-06-30,1882-06,2.9763540971730134,1.1663912528974254,0.8181851027601688,0.6434557354315884,0.5852122368259858
1882-07-31,1882-07,2.9763540971730134,1.1663912528974254,0.8181851027601688,0.6434557354315884,0.5852122368259858
1882-08-31,1882-08,2.9414188263103678,1.1566716522187521,0.813316569309567,0.6410214608454413,0.5835893871018708
1882-09-30,1882-09,1.5789432626666895,0.7776072257503632,0.6234437647360249,0.5460847519856713,0.5202982478613641
1882-10-31,1882-10,-0.4479493968278998,0.21369039378196253,0.34097866657415343,0.4048517468300888,0.4261429110899939
1882-11-30,1882-11,-0.4479493968278998,0.21369039378196253,0.34097866657415343,0.4048517468300888,0.4261429110899939
