date,infl_yoy,trend_exp_infl
1914-01-01,2.0408163265306145,2.040816326276003
1914-02-01,1.0204081632652962,1.0204081635305808
1914-03-01,1.0204081632652962,1.020408163491305
1914-04-01,0.0,6.619487180614669e-10
1914-05-01,2.061855670103108,2.0618556699002015
1914-06-01,1.0204081632652962,1.0204081634984141
1914-07-01,1.0101010101010166,1.010101010342274
1914-08-01,3.030303030303028,3.03030302972177
1914-09-01,2.0000000000000018,1.9999999998517815
1914-10-01,1.0000000000000009,1.0000000002461122
1914-11-01,0.990099009900991,0.9900990101546601
1914-12-01,1.0000000000000009,1.0000000002663556
1915-01-01,1.0000000000000009,1.0000000002883218
1915-02-01,1.0101010101010166,1.0101010103903088
1915-03-01,0.0,7.502221066602033e-10
1915-04-01,2.0408163265306145,2.0408163264770147
1915-05-01,2.020202020202011,2.020202020232086
1915-06-01,2.020202020202011,2.020202020282734
1915-07-01,1.0000000000000009,1.0000000005545302
1915-08-01,-0.9803921568627416,-0.9803921554245556
1915-09-01,-0.9803921568627416,-0.9803921553053931
1915-10-01,0.990099009900991,0.9900990107965527
1915-11-01,0.9803921568627638,0.9803921579461882
1915-12-01,1.980198019801982,1.9801980206573726
1916-01-01,2.970297029702973,2.970297030368858
1916-02-01,4.000000000000004,4.000000000491976
1916-03-01,6.060606060606055,6.060606060498783
1916-04-01,6.000000000000005,6.000000000175271
1916-05-01,5.940594059405946,5.940594059863983
1916-06-01,6.930693069306937,6.930693069624802
1916-07-01,6.930693069306937,6.930693069910144
1916-08-01,7.920792079207928,7.920792079699219
1916-09-01,9.90099009900991,9.900990098994425
1916-10-01,10.784313725490202,10.784313725423388
1916-11-01,11.6504854368932,11.6504854367746
1916-12-01,12.621359223300963,12.621359223068158
1917-01-01,12.5,12.500000000138206
1917-02-01,15.384615384615374,15.384615383814808
1917-03-01,14.28571428571428,14.285714285682921
1917-04-01,18.867924528301884,18.867924526616967
1917-05-01,19.62616822429908,19.62616822257492
1917-06-01,20.37037037037037,20.370370368487702
1917-07-01,18.518518518518512,18.51851851754496
1917-08-01,19.266055045871557,19.266055044694127
1917-09-01,19.81981981981984,19.819819818520845
1917-10-01,19.469026548672552,19.469026547550182
1917-11-01,17.391304347826097,17.391304347573687
1917-12-01,18.10344827586208,18.103448275334408
1918-01-01,19.658119658119656,19.65811965695298
1918-02-01,17.500000000000004,17.49999999972312
1918-03-01,16.666666666666675,16.66666666665413
1918-04-01,12.698412698412698,12.698412700021894
1918-05-01,13.28125,13.281250001318
1918-06-01,13.076923076923077,13.076923078400245
1918-07-01,17.96875,17.96874999950208
1918-08-01,18.461538461538463,18.461538460899476
1918-09-01,18.045112781954884,18.04511278147963
1918-10-01,18.518518518518512,18.5185185178726
1918-11-01,20.740740740740748,20.740740739196752
1918-12-01,20.43795620437956,20.437956202942942
