date,trend,Epi_1y,Epi_5y,Epi_10y,Epi_20y,Epi_30y
1876-09-30,-1.9597014041376357,-4.719889107173832,-3.206989855530053,-2.628262155808339,-2.295722601474551,-2.1837216002122757
1876-10-31,-1.8412387041289646,-3.5119225926286535,-2.577964902172859,-2.235610471108221,-2.0394326007590755,-1.973371480174162
1876-11-30,-1.7185833881295607,-2.7498755544619145,-2.164814099458848,-1.9572015230838788,-1.8384932939604428,-1.7985254184965307
1876-12-31,-1.7460904518878118,-3.077867551189913,-2.346308732431954,-2.0677686796279344,-1.9077655148972794,-1.853876739431556
1877-01-31,-1.7696556746690373,-3.2197729855965944,-2.4291771781121128,-2.123287885749659,-1.9473969619509102,-1.8881530892548641
1877-02-28,-1.774132538576394,-3.0046656722058254,-2.3303276229387784,-2.0722632785203903,-1.9239743314941555,-1.874029772020358
1877-03-31,-1.6437886094609673,-2.2472015292004732,-1.9053649471881022,-1.783678864801971,-1.7140865050160117,-1.6906551021052203
1877-04-30,-1.8208220499094305,-2.790707039811253,-2.262507209869576,-2.057667857974379,-1.9398651880971554,-1.9001863027503039
1877-05-31,-1.504525799922177,-0.7310485505604641,-1.1210896762348486,-1.29802901442432,-1.4007046309100644,-1.4353096918612291
1877-06-30,-1.4820414589308002,-1.3719179920220108,-1.4279817046985153,-1.452941839275609,-1.4674114324738794,-1.4722878285080725
1877-07-31,-1.6222462206942174,-2.9803492155528426,-2.265119238568166,-1.9676682541191581,-1.7958868399493833,-1.7380098719963606
1877-08-31,-1.7378559523738448,-3.9012531976827813,-2.7500100289627367,-2.2813708195260585,-2.0110643569686024,-1.9199999435321164
1877-09-30,-1.672902600021224,-3.6357226840424026,-2.57703329646768,-2.158018094828212,-1.9167412658518361,-1.8354661729228745
1877-10-31,-1.6000305117920406,-3.8038008128304495,-2.6133870318591876,-2.143702131009033,-1.8733000661901082,-1.7822152094746713
1877-11-30,-1.7066309982547714,-5.130744140533952,-3.2931054924572356,-2.558120395149925,-2.1346333645133266,-1.9919737741529897
1877-12-31,-1.814334317797925,-5.971755001362013,-3.734925414661955,-2.8449925892250385,-2.3323904885713174,-2.159714598511924
1878-01-31,-1.744931615259957,-5.651126913579661,-3.533607384461705,-2.704355400987574,-2.227166030373025,-2.0664300130704842
1878-02-28,-1.677481051986132,-5.7719298436598825,-3.550924334607155,-2.6823325567023293,-2.1825473008773457,-2.014201083303577
1878-03-31,-1.7657883059102675,-6.893921743183054,-4.124699749410229,-3.0313817916774566,-2.4019234742051006,-2.189890048211706
1878-04-30,-1.7116032428069197,-7.439969139861668,-4.343633373363868,-3.123645320896524,-2.4213459830520216,-2.1847780349634425
1878-05-31,-1.9767360871302602,-9.302294226987783,-5.354003069342581,-3.788905881508304,-2.8876088580092807,-2.584001280611473
1878-06-30,-1.9687239417073075,-8.605150887694942,-5.000305058827967,-3.5946210845958864,-2.785939893704831,-2.5135494426872156
1878-07-31,-1.7845644636052453,-6.907817679697709,-4.096091937050912,-3.023466479014168,-2.4072376462219416,-2.1996911438049382
1878-08-31,-1.6429586934761122,-6.056486050881242,-3.629908687810459,-2.7077729387422314,-2.1781306981721027,-1.999749661986481
1878-09-30,-1.688403325257812,-6.426604582788112,-3.841011156728511,-2.842554229198649,-2.268495878572557,-2.0751422048394326
1878-10-31,-1.7086819913839841,-6.286540326168708,-3.788572505342652,-2.823848126908576,-2.2691803808435207,-2.082357740491392
