currency,month,usd_per_unit
BRL,1995-01,1.181893393
BRL,1995-02,1.188777936
BRL,1995-03,1.122964627
BRL,1995-04,1.102049813
BRL,1995-05,1.114206128
BRL,1995-06,1.094451133
BRL,1995-07,1.076658053
BRL,1995-08,1.062360565
BRL,1995-09,1.050530518
BRL,1995-10,1.04242677
BRL,1995-11,1.038421599
BRL,1995-12,1.033484911
BRL,1996-01,1.026167265
BRL,1996-02,1.019367992
BRL,1996-03,1.013993105
BRL,1996-04,1.010305112
BRL,1996-05,1.005025126
BRL,1996-06,0.9987016878
BRL,1996-07,0.9931472837
BRL,1996-08,0.9855129595
BRL,1996-09,0.9809691976
BRL,1996-10,0.9752291789
BRL,1996-11,0.9704968944
BRL,1996-12,0.9641342075
BRL,1997-01,0.95914061
BRL,1997-02,0.9534706331
BRL,1997-03,0.9460737938
BRL,1997-04,0.9425070688
BRL,1997-05,0.936329588
BRL,1997-06,0.93057882
BRL,1997-07,0.9254974549
BRL,1997-08,0.9192021325
BRL,1997-09,0.9144947417
BRL,1997-10,0.9091735612
BRL,1997-11,0.9031791908
BRL,1997-12,0.8979885057
BRL,1998-01,0.8929368694
BRL,1998-02,0.8870753127
BRL,1998-03,0.8823010411
BRL,1998-04,0.876501008
BRL,1998-05,0.871459695
BRL,1998-06,0.8663259118
BRL,1998-07,0.8610297916
BRL,1998-08,0.8534607835
BRL,1998-09,0.847098687
BRL,1998-10,0.8411136345
BRL,1998-11,0.8380824673
BRL,1998-12,0.8297378029
BRL,1999-01,0.6613756614
BRL,1999-02,0.519183843
BRL,1999-03,0.5247415648
BRL,1999-04,0.5873715125
BRL,1999-05,0.5933661663
BRL,1999-06,0.565962986
BRL,1999-07,0.5548465849
BRL,1999-08,0.5302508086
BRL,1999-09,0.5266761468
BRL,1999-10,0.5079236083
BRL,1999-11,0.5177591384
BRL,1999-12,0.5422405379
BRL,2000-01,0.5538018497
BRL,2000-02,0.5629045877
BRL,2000-03,0.5739210285
BRL,2000-04,0.5650994575
BRL,2000-05,0.5471058103
BRL,2000-06,0.5525167136
BRL,2000-07,0.5561116672
BRL,2000-08,0.5527610414
BRL,2000-09,0.5435668859
BRL,2000-10,0.5315473343
BRL,2000-11,0.5132679772
BRL,2000-12,0.5093724531
BRL,2001-01,0.5112213077
BRL,2001-02,0.4985044865
BRL,2001-03,0.4772130756
BRL,2001-04,0.4559131941
BRL,2001-05,0.4361859897
BRL,2001-06,0.4203800235
BRL,2001-07,0.4043508148
BRL,2001-08,0.3980574795
BRL,2001-09,0.3735943513
BRL,2001-10,0.3648569761
BRL,2001-11,0.3924492759
BRL,2001-12,0.4231013328
BRL,2002-01,0.4201857221
BRL,2002-02,0.4125072189
BRL,2002-03,0.4264392324
BRL,2002-04,0.4305334309
BRL,2002-05,0.4039914354
BRL,2002-06,0.3684055408
BRL,2002-07,0.339974162
BRL,2002-08,0.3217296184
BRL,2002-09,0.2980803625
BRL,2002-10,0.2633935627
BRL,2002-11,0.2783654381
BRL,2002-12,0.2757251572
BRL,2003-01,0.2909090909
BRL,2003-02,0.2781254346
BRL,2003-03,0.2892932566
BRL,2003-04,0.3216468318
BRL,2003-05,0.3387878172
BRL,2003-06,0.3461764808
BRL,2003-07,0.3468248188
BRL,2003-08,0.332745483
BRL,2003-09,0.3424188467
BRL,2003-10,0.3493083694
BRL,2003-11,0.3430531732
BRL,2003-12,0.3418219108
BRL,2004-01,0.350471384
BRL,2004-02,0.3408083975
BRL,2004-03,0.3440327519
BRL,2004-04,0.3438907803
BRL,2004-05,0.3223414886
BRL,2004-06,0.319560285
BRL,2004-07,0.3291205898
BRL,2004-08,0.3331334533
BRL,2004-09,0.3458532199
BRL,2004-10,0.350631136
BRL,2004-11,0.358718657
BRL,2004-12,0.3683241252
BRL,2005-01,0.3718163227
BRL,2005-02,0.3850448577
BRL,2005-03,0.3695354939
BRL,2005-04,0.3881987578
BRL,2005-05,0.4072656186
BRL,2005-06,0.41411297
BRL,2005-07,0.4219053244
BRL,2005-08,0.4235672837
BRL,2005-09,0.4357488344
BRL,2005-10,0.4437344693
BRL,2005-11,0.4523044914
BRL,2005-12,0.4384234293
BRL,2006-01,0.4411894467
BRL,2006-02,0.4632417659
BRL,2006-03,0.4645113341
BRL,2006-04,0.4699027301
BRL,2006-05,0.460893211
BRL,2006-06,0.4445827591
BRL,2006-07,0.4569757346
BRL,2006-08,0.4639725328
BRL,2006-09,0.4612758891
BRL,2006-10,0.4660266567
BRL,2006-11,0.4639294827
BRL,2006-12,0.4656360589
BRL,2007-01,0.4678143713
BRL,2007-02,0.4775777258
BRL,2007-03,0.4788584016
BRL,2007-04,0.4925623091
BRL,2007-05,0.504133898
BRL,2007-06,0.5175179837
BRL,2007-07,0.53157559
BRL,2007-08,0.5096839959
BRL,2007-09,0.5256794407
BRL,2007-10,0.5559570801
BRL,2007-11,0.565962986
BRL,2007-12,0.5601613265
BRL,2008-01,0.5646527386
BRL,2008-02,0.5783689994
BRL,2008-03,0.5851375073
BRL,2008-04,0.5930142916
BRL,2008-05,0.6029544769
BRL,2008-06,0.6180851721
BRL,2008-07,0.6289308176
BRL,2008-08,0.6200781298
BRL,2008-09,0.5546004104
BRL,2008-10,0.4585052728
BRL,2008-11,0.4404510218
BRL,2008-12,0.4174668114
BRL,2009-01,0.4332943368
BRL,2009-02,0.4304778304
BRL,2009-03,0.4317602867
BRL,2009-04,0.4539882871
BRL,2009-05,0.4833486394
BRL,2009-06,0.5105687736
BRL,2009-07,0.517384106
BRL,2009-08,0.5419173034
BRL,2009-09,0.5498432947
BRL,2009-10,0.5754402118
BRL,2009-11,0.5791058606
BRL,2009-12,0.5711674663
BRL,2010-01,0.5612617163
BRL,2010-02,0.542888165
BRL,2010-03,0.5600672081
BRL,2010-04,0.5692167577
BRL,2010-05,0.5512071436
BRL,2010-06,0.5542622769
BRL,2010-07,0.5653230821
BRL,2010-08,0.5685371539
BRL,2010-09,0.5820721769
BRL,2010-10,0.593930035
BRL,2010-11,0.5837370848
BRL,2010-12,0.5897965202
BRL,2011-01,0.597193192
BRL,2011-02,0.6000960154
BRL,2011-03,0.6033546519
BRL,2011-04,0.631592244
BRL,2011-05,0.6197322757
BRL,2011-06,0.6307556453
BRL,2011-07,0.64
BRL,2011-08,0.6263309533
BRL,2011-09,0.5716899154
BRL,2011-10,0.5648760097
BRL,2011-11,0.5597850425
BRL,2011-12,0.5437442227
BRL,2012-01,0.5602240896
BRL,2012-02,0.5824790308
BRL,2012-03,0.5570099705
BRL,2012-04,0.5398984991
BRL,2012-05,0.5047955578
BRL,2012-06,0.4882335709
BRL,2012-07,0.4927079227
BRL,2012-08,0.4931209626
BRL,2012-09,0.4933642508
BRL,2012-10,0.4926836478
BRL,2012-11,0.4839802536
BRL,2012-12,0.4813477738
BRL,2013-01,0.4930723337
BRL,2013-02,0.5068680622
BRL,2013-03,0.5039814535
BRL,2013-04,0.4997251512
BRL,2013-05,0.4910385465
BRL,2013-06,0.4601085856
BRL,2013-07,0.4440891731
BRL,2013-08,0.4272043746
BRL,2013-09,0.4416766044
BRL,2013-10,0.4569966182
BRL,2013-11,0.43555904
BRL,2013-12,0.4260576882
BRL,2014-01,0.4191466175
BRL,2014-02,0.4203093477
BRL,2014-03,0.4300890284
BRL,2014-04,0.4479283315
BRL,2014-05,0.4505519261
BRL,2014-06,0.4472271914
BRL,2014-07,0.4495998561
BRL,2014-08,0.4408199251
BRL,2014-09,0.4277342915
BRL,2014-10,0.4082465809
BRL,2014-11,0.391742077
BRL,2014-12,0.3785154624
BRL,2015-01,0.3795642602
BRL,2015-02,0.3549875754
BRL,2015-03,0.3183294073
BRL,2015-04,0.3287202919
BRL,2015-05,0.327203717
BRL,2015-06,0.3213677411
BRL,2015-07,0.3097125867
BRL,2015-08,0.2844626501
BRL,2015-09,0.256200041
BRL,2015-10,0.2580511974
BRL,2015-11,0.2641449628
BRL,2015-12,0.2576788291
BRL,2016-01,0.2465726403
BRL,2016-02,0.2522449803
BRL,2016-03,0.2704164413
BRL,2016-04,0.2806308582
BRL,2016-05,0.2824619383
BRL,2016-06,0.2921072618
BRL,2016-07,0.3050547573
BRL,2016-08,0.3116624073
BRL,2016-09,0.3073896471
BRL,2016-10,0.3139323162
BRL,2016-11,0.2996793431
BRL,2016-12,0.2981514609
BRL,2017-01,0.3134697972
BRL,2017-02,0.3219886016
BRL,2017-03,0.3197442046
BRL,2017-04,0.3185727939
BRL,2017-05,0.3120806416
BRL,2017-06,0.3034532985
BRL,2017-07,0.3125586047
BRL,2017-08,0.3176821907
BRL,2017-09,0.3192338388
BRL,2017-10,0.3132537669
BRL,2017-11,0.3064758344
BRL,2017-12,0.3034901366
BRL,2018-01,0.3113809746
BRL,2018-02,0.3076260498
BRL,2018-03,0.3049710278
BRL,2018-04,0.2933497609
BRL,2018-05,0.2753607225
BRL,2018-06,0.2651816494
BRL,2018-07,0.2616362733
BRL,2018-08,0.2542394427
BRL,2018-09,0.2433859858
BRL,2018-10,0.2658796629
BRL,2018-11,0.264131009
BRL,2018-12,0.2575063089
BRL,2019-01,0.267694614
BRL,2019-02,0.2684996241
BRL,2019-03,0.2603692035
BRL,2019-04,0.2565813106
BRL,2019-05,0.2505323813
BRL,2019-06,0.2593562777
BRL,2019-07,0.2646552865
BRL,2019-08,0.2486325211
BRL,2019-09,0.2427479063
BRL,2019-10,0.2449479486
BRL,2019-11,0.2406275567
BRL,2019-12,0.2436350347
BRL,2020-01,0.2408941993
BRL,2020-02,0.2300437083
BRL,2020-03,0.2046580165
BRL,2020-04,0.1880724455
BRL,2020-05,0.1773238288
BRL,2020-06,0.1927376455
BRL,2020-07,0.1896273822
BRL,2020-08,0.1828655024
BRL,2020-09,0.1851851852
BRL,2020-10,0.1777682968
BRL,2020-11,0.1835468595
BRL,2020-12,0.1943747935
BRL,2021-01,0.1863134164
BRL,2021-02,0.1847336141
BRL,2021-03,0.17745914
BRL,2021-04,0.17957835
BRL,2021-05,0.1892075986
BRL,2021-06,0.1988664612
BRL,2021-07,0.1937571448
BRL,2021-08,0.1905233677
BRL,2021-09,0.1894298163
BRL,2021-10,0.1804532987
BRL,2021-11,0.1796364159
BRL,2021-12,0.1768377867
BRL,2022-01,0.1808318264
BRL,2022-02,0.1923668821
BRL,2022-03,0.2009484768
BRL,2022-04,0.2103182115
BRL,2022-05,0.20155195
BRL,2022-06,0.1981100303
BRL,2022-07,0.1862821802
BRL,2022-08,0.1945373901
BRL,2022-09,0.1907086734
BRL,2022-10,0.1904000305
BRL,2022-11,0.1898253607
BRL,2022-12,0.1906432303
BRL,2023-01,0.1925965872
BRL,2023-02,0.193020383
BRL,2023-03,0.1919901701
BRL,2023-04,0.1991436822
BRL,2023-05,0.200750808
BRL,2023-06,0.2060283907
BRL,2023-07,0.2083116342
BRL,2023-08,0.2040316657
BRL,2023-09,0.2024824346
BRL,2023-10,0.1977887221
BRL,2023-11,0.2041649653
BRL,2023-12,0.2040899629
BRL,2024-01,0.2033264202
BRL,2024-02,0.2015763269
BRL,2024-03,0.2008112776
BRL,2024-04,0.1949317739
BRL,2024-05,0.1946737268
BRL,2024-06,0.1856630957
BRL,2024-07,0.1803816877
BRL,2024-08,0.1801250068
BRL,2024-09,0.1805771245
BRL,2024-10,0.177689328
BRL,2024-11,0.1725298045
BRL,2024-12,0.1639075561
BRL,2025-01,0.1663644379
BRL,2025-02,0.1734966515
BRL,2025-03,0.1736683976
BRL,2025-04,0.1726966583
BRL,2025-05,0.1764788931
BRL,2025-06,0.180316636
BRL,2025-07,0.1807272464
BRL,2025-08,0.1836378661
BRL,2025-09,0.1864628007
BRL,2025-10,0.1857631149
BRL,2025-11,0.1872133296
BRL,2025-12,0.183294536
BRL,2026-01,0.1875609573
BRL,2026-02,0.1923520812
BRL,2026-03,0.1912192137
BRL,2026-04,0.1986531318
BRL,2026-05,0.2007427482
BRL,2026-06,0.1951562226
BRL,2026-07,0.1957176968
BRL,2026-08,0.1939788951
CNY,1981-01,0.6444129398
CNY,1981-02,0.6199243692
CNY,1981-03,0.6129704548
CNY,1981-04,0.600240096
CNY,1981-05,0.5790387956
CNY,1981-06,0.5680204487
CNY,1981-07,0.5666685556
CNY,1981-08,0.5554629784
CNY,1981-09,0.5700604264
CNY,1981-10,0.5689576695
CNY,1981-11,0.5744155322
CNY,1981-12,0.5745475438
CNY,1982-01,0.564557105
CNY,1982-02,0.5494505495
CNY,1982-03,0.5426230398
CNY,1982-04,0.5386479935
CNY,1982-05,0.5517850246
CNY,1982-06,0.5259282634
CNY,1982-07,0.518134715
CNY,1982-08,0.5146150679
CNY,1982-09,0.5110645475
CNY,1982-10,0.5028410519
CNY,1982-11,0.499950005
CNY,1982-12,0.5142710208
CNY,1983-01,0.5198045535
CNY,1983-02,0.5088281687
CNY,1983-03,0.5041847333
CNY,1983-04,0.5015548199
CNY,1983-05,0.502638854
CNY,1983-06,0.5012782596
CNY,1983-07,0.5008514475
CNY,1983-08,0.503956055
CNY,1983-09,0.5033472593
CNY,1983-10,0.5085435313
CNY,1983-11,0.5015045135
CNY,1983-12,0.5020080321
CNY,1984-01,0.4880429478
CNY,1984-02,0.4847779717
CNY,1984-03,0.4843553231
CNY,1984-04,0.4778059152
CNY,1984-05,0.4573310162
CNY,1984-06,0.4508972856
CNY,1984-07,0.4348582362
CNY,1984-08,0.42162071
CNY,1984-09,0.3926341827
CNY,1984-10,0.3775294473
CNY,1984-11,0.3733432892
CNY,1984-12,0.3577433549
CNY,1985-01,0.3551136364
CNY,1985-02,0.3527710163
CNY,1985-03,0.350471384
CNY,1985-04,0.3511235955
CNY,1985-05,0.3501891021
CNY,1985-06,0.3485170599
CNY,1985-07,0.3471137492
CNY,1985-08,0.3437252947
CNY,1985-09,0.3364511137
CNY,1985-10,0.3248651809
CNY,1985-11,0.3116624073
CNY,1985-12,0.3115750117
CNY,1986-01,0.3115750117
CNY,1986-02,0.3110226424
CNY,1986-03,0.310539718
CNY,1986-04,0.3111097284
CNY,1986-05,0.312363341
CNY,1986-06,0.3113809746
CNY,1986-07,0.2744613696
CNY,1986-08,0.2693312505
CNY,1986-09,0.269179004
CNY,1986-10,0.2684059371
CNY,1986-11,0.2679959265
CNY,1986-12,0.2679959265
CNY,1987-01,0.2679959265
CNY,1987-02,0.2679959265
CNY,1987-03,0.2679959265
CNY,1987-04,0.2679959265
CNY,1987-05,0.2679959265
CNY,1987-06,0.2679959265
CNY,1987-07,0.2679959265
CNY,1987-08,0.2679959265
CNY,1987-09,0.2679959265
CNY,1987-10,0.2679959265
CNY,1987-11,0.2679959265
CNY,1987-12,0.2679959265
CNY,1988-01,0.2679959265
CNY,1988-02,0.2679959265
CNY,1988-03,0.2679959265
CNY,1988-04,0.2679959265
CNY,1988-05,0.2679959265
CNY,1988-06,0.2679959265
CNY,1988-07,0.2679959265
CNY,1988-08,0.2679959265
CNY,1988-09,0.2679959265
CNY,1988-10,0.2679959265
CNY,1988-11,0.2679959265
CNY,1988-12,0.2679959265
CNY,1989-01,0.2679959265
CNY,1989-02,0.2679959265
CNY,1989-03,0.2679959265
CNY,1989-04,0.2679959265
CNY,1989-05,0.2679959265
CNY,1989-06,0.2679959265
CNY,1989-07,0.2679959265
CNY,1989-08,0.2679959265
CNY,1989-09,0.2679959265
CNY,1989-10,0.2679959265
CNY,1989-11,0.2679959265
CNY,1989-12,0.2390914525
CNY,1990-01,0.2112423161
CNY,1990-02,0.2112423161
CNY,1990-03,0.2112423161
CNY,1990-04,0.2112423161
CNY,1990-05,0.2112423161
CNY,1990-06,0.2112423161
CNY,1990-07,0.2112423161
CNY,1990-08,0.2112423161
CNY,1990-09,0.2112289299
CNY,1990-10,0.2112423161
CNY,1990-11,0.2011505813
CNY,1990-12,0.1910146699
CNY,1991-01,0.1910146699
CNY,1991-02,0.1910146699
CNY,1991-03,0.1910146699
CNY,1991-04,0.1895123846
CNY,1991-05,0.187768744
CNY,1991-06,0.1863342464
CNY,1991-07,0.1862440169
CNY,1991-08,0.1861330852
CNY,1991-09,0.1856355232
CNY,1991-10,0.1854702598
CNY,1991-11,0.1852057636
CNY,1991-12,0.1843929783
CNY,1992-01,0.1830898239
CNY,1992-02,0.1825617059
CNY,1992-03,0.1822456307
CNY,1992-04,0.1814947911
CNY,1992-05,0.1812185133
CNY,1992-06,0.1821725903
CNY,1992-07,0.1832710212
CNY,1992-08,0.1837661025
CNY,1992-09,0.1816596425
CNY,1992-10,0.1802256425
CNY,1992-11,0.1781451527
CNY,1992-12,0.1720992669
CNY,1993-01,0.1730223545
CNY,1993-02,0.1727891627
CNY,1993-03,0.1740492559
CNY,1993-04,0.1748190623
CNY,1993-05,0.1742403122
CNY,1993-06,0.173900946
CNY,1993-07,0.1731421844
CNY,1993-08,0.172693676
CNY,1993-09,0.1723692149
CNY,1993-10,0.1723751573
CNY,1993-11,0.1721585236
CNY,1993-12,0.1717917884
CNY,1994-01,0.1146539172
CNY,1994-02,0.1146144941
CNY,1994-03,0.1146250043
CNY,1994-04,0.1146118669
CNY,1994-05,0.1151291173
CNY,1994-06,0.1151596112
CNY,1994-07,0.1154667744
CNY,1994-08,0.1161818013
CNY,1994-09,0.1168483659
CNY,1994-10,0.1169700089
CNY,1994-11,0.1171371676
CNY,1994-12,0.1176014018
CNY,1995-01,0.1181921331
CNY,1995-02,0.1182690147
CNY,1995-03,0.1183670087
CNY,1995-04,0.1184539392
CNY,1995-05,0.1199472232
CNY,1995-06,0.1201836406
CNY,1995-07,0.1201821962
