yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1963,7.89,9.83,7.62,9.45,1.15
1964,7.65,9.81,7.48,9.53,1.14
1965,7.74,10.35,7.44,9.84,1.62
1966,7.36,10.55,7.71,10.66,1.95
1967,7.72,11.35,7.13,10.51,1.93
1968,6.29,10.56,6.99,10.99,0.68
1969,6.64,11.46,6.48,11.06,1.67
1970,6.88,11.94,7.09,12.05,1.26
1971,8.07,13.22,7.19,12.29,0.98
1972,8.19,13.84,8.11,13.5,1.0
1973,6.54,13.29,6.96,13.2,0.7
1974,8.25,15.84,7.73,15.0,1.54
1975,9.58,16.92,9.23,16.69,1.67
1976,8.98,16.31,9.4,16.71,1.18
1977,7.5,15.32,8.46,16.1,0.84
1978,7.63,16.05,7.36,15.48,1.15
1979,7.81,16.86,7.76,16.54,1.4
1980,9.84,18.61,8.78,17.78,2.39
1981,9.51,17.19,9.7,17.9,1.45
1982,10.31,16.38,9.97,16.78,1.82
1983,9.07,14.17,9.45,14.91,1.6
1984,8.49,13.01,9.02,13.81,1.12
1985,8.74,12.89,8.93,13.21,1.38
1986,8.56,12.33,8.46,12.34,1.62
1987,8.48,12.55,8.09,12.07,1.02
1988,9.09,13.21,8.89,12.96,1.0
1989,9.97,14.11,9.56,13.72,1.61
1990,7.71,11.83,8.94,13.08,1.48
1991,7.96,11.57,7.43,11.27,1.48
1992,7.92,11.27,7.88,11.35,1.28
1993,7.38,10.5,7.6,10.83,0.75
1994,8.19,11.14,8.17,11.18,1.25
1995,8.18,11.0,7.74,10.63,0.9
1996,8.65,11.4,8.59,11.37,1.24
1997,9.42,11.91,9.26,11.86,1.78
1998,10.4,12.84,9.72,12.16,2.05
1999,13.49,16.07,11.56,14.07,3.96
2000,11.84,14.5,13.01,15.66,3.13
2001,9.17,11.63,10.28,12.87,1.07
2002,8.91,11.43,9.43,11.88,1.82
2003,9.06,11.6,8.65,11.19,1.54
2004,7.79,10.55,8.38,11.05,1.04
2005,6.8,9.64,7.22,10.03,0.86
2006,6.64,9.37,6.73,9.54,0.57
2007,6.47,9.25,6.66,9.38,1.18
2008,9.42,11.67,7.03,9.7,1.88
2009,8.17,10.37,8.55,10.61,1.02
2010,8.24,10.27,8.3,10.37,1.01
2011,8.12,10.21,8.11,10.25,1.15
2012,8.13,9.99,8.14,10.09,1.31
2013,5.4,7.13,6.45,8.22,0.89
2014,6.05,7.66,5.49,7.19,1.9
2015,5.22,6.87,5.62,7.19,0.66
2016,5.26,7.21,5.11,6.9,1.08
2017,4.44,6.6,4.8,6.86,0.44
2018,5.91,8.26,5.26,7.56,1.54
2019,5.29,7.9,5.58,8.04,1.02
2020,9.44,12.36,8.48,11.2,1.27
2021,10.05,13.92,9.62,13.08,2.01
2022,8.04,12.02,8.51,12.59,1.26
2023,6.32,9.86,6.93,10.64,0.81
2024,7.37,10.71,6.7,10.12,1.28
2025,7.5,10.78,7.26,10.55,1.5
2026,7.45,10.8,7.67,11.0,1.22
