yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1963,7.41,9.35,7.52,9.34,0.67
1964,7.58,9.74,7.45,9.5,1.07
1965,7.47,10.09,7.3,9.7,1.35
1966,6.58,9.77,7.62,10.56,1.17
1967,6.93,10.56,6.65,10.03,1.13
1968,7.43,11.69,6.98,10.98,1.82
1969,6.59,11.41,6.77,11.35,1.63
1970,7.42,12.48,7.33,12.29,1.8
1971,8.14,13.29,7.58,12.68,1.05
1972,8.32,13.97,8.4,13.79,1.13
1973,7.21,13.97,7.51,13.75,1.37
1974,7.62,15.21,7.48,14.75,0.91
1975,8.81,16.15,8.26,15.72,0.91
1976,8.59,15.93,9.07,16.38,0.79
1977,7.29,15.12,8.19,15.83,0.63
1978,7.42,15.83,7.18,15.3,0.93
1979,7.52,16.57,7.47,16.25,1.12
1980,8.77,17.53,8.5,17.5,1.31
1981,9.1,16.77,9.21,17.41,1.04
1982,9.71,15.78,9.28,16.09,1.22
1983,8.78,13.88,9.06,14.52,1.31
1984,8.4,12.91,8.89,13.68,1.03
1985,8.51,12.66,8.56,12.84,1.15
1986,7.86,11.63,7.87,11.76,0.92
1987,8.88,12.96,8.38,12.37,1.43
1988,9.0,13.13,8.79,12.86,0.91
1989,10.12,14.26,9.49,13.65,1.75
1990,7.51,11.64,9.1,13.24,1.28
1991,7.42,11.03,7.56,11.4,0.95
1992,8.05,11.39,7.89,11.36,1.41
1993,8.55,11.67,8.31,11.53,1.92
1994,7.92,10.88,7.77,10.79,0.99
1995,8.71,11.52,8.14,11.03,1.42
1996,8.03,10.78,8.37,11.15,0.62
1997,8.77,11.26,8.33,10.93,1.13
1998,10.74,13.18,9.71,12.16,2.38
1999,11.11,13.69,11.1,13.61,1.58
2000,11.41,14.07,12.26,14.92,2.69
2001,9.35,11.8,10.4,12.99,1.24
2002,7.83,10.35,8.55,10.99,0.74
2003,8.97,11.52,8.28,10.82,1.45
2004,8.18,10.94,8.31,10.98,1.43
2005,6.97,9.81,7.5,10.31,1.03
2006,6.8,9.53,7.08,9.89,0.73
2007,6.31,9.09,6.67,9.39,1.01
2008,9.18,11.43,7.49,10.16,1.64
2009,8.64,10.84,8.72,10.77,1.49
2010,8.44,10.47,8.35,10.43,1.21
2011,8.11,10.2,8.31,10.45,1.13
2012,7.96,9.82,8.23,10.18,1.14
2013,5.74,7.47,6.22,8.0,1.23
2014,5.23,6.83,5.36,7.06,1.08
2015,5.8,7.45,5.54,7.1,1.24
2016,5.15,7.09,5.2,6.99,0.96
2017,5.05,7.21,5.03,7.09,1.06
2018,6.3,8.65,5.77,8.07,1.93
2019,5.13,7.75,5.36,7.82,0.86
2020,9.1,12.02,8.24,10.96,0.92
2021,9.51,13.38,9.46,12.92,1.47
2022,8.57,12.56,8.25,12.33,1.8
2023,7.18,10.72,7.63,11.33,1.67
2024,7.51,10.85,6.97,10.38,1.42
2025,7.07,10.35,7.27,10.56,1.07
2026,7.56,10.9,7.91,11.23,1.32
