,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1963-01,1.74,5.004,1.025,7.769,1.755,9.524,PG
1963-02,1.848,4.928,0.769,7.545,1.741,9.287,PG
1963-03,1.85,4.899,0.616,7.365,1.779,9.144,PG
1963-04,1.812,4.992,0.522,7.326,1.767,9.093,PG
1963-05,1.812,5.019,0.72,7.551,1.78,9.332,PG
1963-06,1.799,5.008,0.665,7.472,1.82,9.291,PG
1963-07,1.76,4.983,0.815,7.558,1.834,9.392,PG
1963-08,1.833,5.0,0.786,7.619,1.85,9.469,PG
1963-09,1.878,4.99,0.757,7.625,1.841,9.466,PG
1963-10,1.899,4.957,0.748,7.604,1.882,9.486,PG
1963-11,1.79,4.952,0.637,7.379,1.9,9.279,PG
1963-12,1.784,4.952,0.674,7.41,1.943,9.353,PG
1964-01,1.777,4.945,0.509,7.231,1.961,9.192,PG
1964-02,1.781,4.914,0.6,7.295,1.98,9.274,PG
1964-03,1.882,4.881,0.619,7.382,1.974,9.355,PG
1964-04,1.846,4.887,0.911,7.644,1.993,9.637,PG
1964-05,1.762,4.912,0.953,7.627,2.014,9.641,PG
1964-06,1.696,4.911,0.92,7.527,2.034,9.562,PG
1964-07,1.835,4.928,0.621,7.384,2.056,9.44,PG
1964-08,1.827,4.889,0.589,7.305,2.054,9.358,PG
1964-09,1.67,4.923,0.763,7.356,2.102,9.458,PG
1964-10,1.687,4.926,0.856,7.469,2.102,9.57,PG
1964-11,1.653,4.874,1.061,7.588,2.152,9.739,PG
1964-12,1.661,4.856,1.067,7.584,2.153,9.737,PG
1965-01,1.884,4.796,1.44,8.12,2.181,10.301,PG
1965-02,1.843,4.81,1.379,8.032,2.21,10.242,PG
1965-03,1.589,4.851,1.283,7.723,2.264,9.987,PG
1965-04,1.489,4.804,0.862,7.155,2.319,9.474,PG
1965-05,1.464,4.542,0.716,6.722,2.351,9.073,PG
1965-06,1.397,4.444,0.974,6.815,2.407,9.222,PG
1965-07,1.42,4.404,0.893,6.717,2.415,9.132,PG
1965-08,1.388,4.4,1.193,6.981,2.474,9.455,PG
1965-09,1.782,4.316,1.13,7.228,2.483,9.711,PG
1965-10,1.5,4.399,1.507,7.406,2.543,9.948,PG
1965-11,1.548,4.38,1.263,7.191,2.554,9.745,PG
1965-12,1.816,4.305,1.351,7.472,2.615,10.086,PG
1966-01,1.842,4.319,0.985,7.146,2.652,9.798,PG
1966-02,1.923,4.293,1.163,7.379,2.738,10.117,PG
1966-03,1.645,4.313,1.363,7.321,2.776,10.096,PG
1966-04,1.614,4.321,1.953,7.888,2.838,10.725,PG
1966-05,1.659,4.24,2.244,8.143,2.876,11.019,PG
1966-06,1.797,4.178,2.043,8.018,2.889,10.907,PG
1966-07,1.891,4.14,1.945,7.976,2.952,10.928,PG
1966-08,2.208,3.971,1.962,8.141,3.038,11.179,PG
1966-09,1.827,4.063,2.177,8.067,3.077,11.144,PG
1966-10,1.631,4.118,1.849,7.598,3.138,10.736,PG
1966-11,1.674,4.1,1.413,7.187,3.175,10.362,PG
1966-12,1.157,4.253,1.168,6.578,3.188,9.765,PG
1967-01,0.987,4.295,1.194,6.476,3.224,9.7,PG
1967-02,1.11,4.25,0.948,6.308,3.212,9.52,PG
1967-03,0.789,4.342,1.207,6.338,3.248,9.586,PG
1967-04,1.115,4.237,1.177,6.529,3.261,9.79,PG
1967-05,1.042,4.26,1.4,6.702,3.322,10.023,PG
1967-06,1.457,4.134,1.07,6.661,3.36,10.021,PG
1967-07,1.24,4.203,1.407,6.85,3.398,10.248,PG
1967-08,1.472,4.134,1.095,6.701,3.414,10.115,PG
1967-09,1.426,4.15,1.133,6.709,3.477,10.187,PG
1967-10,1.768,4.048,0.974,6.79,3.494,10.285,PG
1967-11,1.784,4.048,0.921,6.753,3.56,10.313,PG
1967-12,1.734,4.065,1.135,6.934,3.626,10.56,PG
1968-01,1.404,4.165,1.529,7.098,3.715,10.814,PG
1968-02,1.363,4.174,1.752,7.289,3.782,11.071,PG
1968-03,1.478,4.136,1.525,7.139,3.825,10.964,PG
1968-04,1.592,4.167,1.298,7.057,3.868,10.925,PG
1968-05,1.477,4.21,1.102,6.789,3.91,10.7,PG
1968-06,3.008,3.677,0.924,7.609,3.975,11.584,PG
1968-07,3.206,3.722,0.702,7.63,4.04,11.67,PG
1968-08,0.987,4.352,0.711,6.05,4.082,10.133,PG
1968-09,0.958,4.326,1.166,6.45,4.124,10.574,PG
1968-10,1.04,4.273,1.047,6.36,4.187,10.547,PG
1968-11,1.065,4.248,1.576,6.889,4.228,11.116,PG
1968-12,1.493,4.115,1.817,7.425,4.268,11.693,PG
1969-01,1.407,4.195,1.55,7.152,4.284,11.436,PG
1969-02,1.327,4.218,0.975,6.52,4.346,10.866,PG
1969-03,1.511,4.123,0.516,6.15,4.429,10.578,PG
1969-04,1.232,4.198,0.391,5.821,4.489,10.31,PG
1969-05,1.457,4.127,0.978,6.562,4.526,11.088,PG
1969-06,1.591,4.13,1.049,6.77,4.561,11.331,PG
1969-07,1.287,4.313,1.432,7.032,4.595,11.627,PG
1969-08,1.565,4.097,1.316,6.978,4.651,11.629,PG
1969-09,2.072,3.946,1.254,7.272,4.684,11.956,PG
1969-10,0.443,4.652,1.941,7.036,4.715,11.752,PG
1969-11,1.928,3.98,1.482,7.39,4.768,12.158,PG
1969-12,0.569,4.394,1.631,6.594,4.819,11.413,PG
1970-01,1.173,4.198,1.54,6.911,4.848,11.759,PG
1970-02,0.588,4.374,1.855,6.817,4.874,11.691,PG
1970-03,1.488,4.094,1.535,7.117,4.877,11.994,PG
1970-04,2.335,3.847,1.274,7.456,4.921,12.377,PG
1970-05,2.051,4.307,1.078,7.436,4.946,12.382,PG
1970-06,2.094,4.306,1.112,7.512,4.967,12.479,PG
1970-07,1.914,4.353,1.317,7.584,4.988,12.572,PG
1970-08,1.941,4.38,1.309,7.63,4.967,12.597,PG
1970-09,1.756,4.544,1.21,7.51,5.008,12.519,PG
1970-10,1.518,4.635,1.149,7.302,5.027,12.329,PG
1970-11,1.104,4.734,1.446,7.284,5.045,12.329,PG
1970-12,0.659,4.964,1.798,7.421,5.063,12.484,PG
1971-01,0.92,4.926,1.398,7.244,5.062,12.306,PG
1971-02,0.613,5.002,1.017,6.632,5.059,11.691,PG
1971-03,0.378,5.519,1.063,6.96,5.057,12.017,PG
1971-04,0.803,4.837,1.334,6.974,5.035,12.008,PG
1971-05,0.961,4.778,1.322,7.061,5.074,12.134,PG
1971-06,1.305,4.671,1.727,7.703,5.113,12.816,PG
1971-07,1.431,4.639,1.754,7.824,5.113,12.937,PG
1971-08,0.593,4.889,2.172,7.654,5.155,12.809,PG
1971-09,2.634,4.254,1.518,8.406,5.138,13.544,PG
1971-10,2.697,4.249,1.378,8.324,5.141,13.465,PG
1971-11,2.759,4.283,1.017,8.059,5.127,13.186,PG
1971-12,2.628,4.461,1.052,8.141,5.153,13.294,PG
1972-01,2.45,4.546,0.934,7.93,5.182,13.112,PG
1972-02,2.426,4.603,1.3,8.329,5.231,13.56,PG
1972-03,2.557,4.611,1.221,8.389,5.263,13.653,PG
1972-04,2.506,4.663,1.282,8.451,5.297,13.748,PG
1972-05,2.524,4.636,1.473,8.633,5.314,13.947,PG
1972-06,2.679,4.514,1.454,8.647,5.313,13.96,PG
1972-07,2.656,4.45,1.418,8.524,5.372,13.896,PG
1972-08,2.719,4.509,1.16,8.388,5.415,13.803,PG
1972-09,2.684,4.519,1.053,8.256,5.479,13.735,PG
1972-10,2.739,4.527,1.2,8.466,5.545,14.011,PG
1972-11,2.673,4.684,1.117,8.474,5.614,14.088,PG
1972-12,2.572,4.624,1.127,8.323,5.646,13.97,PG
1973-01,2.358,4.662,0.855,7.875,5.719,13.594,PG
1973-02,2.455,4.59,0.796,7.841,5.792,13.634,PG
1973-03,2.302,4.614,1.013,7.929,5.905,13.834,PG
1973-04,2.181,4.579,1.019,7.779,6.0,13.779,PG
1973-05,2.18,4.053,0.904,7.137,6.096,13.233,PG
1973-06,2.054,4.013,0.982,7.049,6.192,13.241,PG
1973-07,2.148,3.956,1.265,7.369,6.233,13.603,PG
1973-08,1.717,4.079,1.992,7.788,6.419,14.207,PG
1973-09,1.939,3.971,1.789,7.699,6.479,14.178,PG
1973-10,1.66,4.051,1.681,7.392,6.572,13.964,PG
1973-11,1.664,4.242,1.177,7.083,6.665,13.748,PG
1973-12,1.461,4.377,1.372,7.21,6.756,13.966,PG
1974-01,1.217,4.397,1.231,6.845,6.865,13.71,PG
1974-02,1.124,4.407,1.241,6.772,6.971,13.743,PG
1974-03,1.198,4.394,0.971,6.563,7.055,13.618,PG
1974-04,1.235,4.413,1.55,7.198,7.085,14.283,PG
1974-05,1.446,4.382,2.035,7.863,7.183,15.046,PG
1974-06,1.685,4.304,1.881,7.87,7.242,15.111,PG
1974-07,1.282,4.862,1.298,7.442,7.337,14.78,PG
1974-08,1.868,4.737,1.245,7.85,7.333,15.183,PG
1974-09,1.706,5.054,1.221,7.981,7.46,15.441,PG
1974-10,1.198,5.234,1.525,7.957,7.509,15.466,PG
1974-11,1.494,5.16,1.158,7.812,7.554,15.365,PG
1974-12,1.659,5.051,0.91,7.62,7.593,15.213,PG
1975-01,1.475,5.244,0.742,7.461,7.577,15.038,PG
1975-02,1.509,5.488,0.865,7.862,7.555,15.417,PG
1975-03,1.587,5.516,0.83,7.933,7.501,15.434,PG
1975-04,1.639,5.507,0.893,8.039,7.514,15.553,PG
1975-05,1.585,5.634,0.812,8.031,7.472,15.503,PG
1975-06,1.676,5.628,0.912,8.216,7.478,15.694,PG
1975-07,1.881,5.57,0.895,8.346,7.512,15.858,PG
1975-08,2.042,5.576,0.986,8.604,7.436,16.041,PG
1975-09,2.177,5.542,0.877,8.596,7.392,15.988,PG
1975-10,2.16,5.613,0.812,8.585,7.363,15.948,PG
1975-11,2.398,5.482,0.776,8.656,7.365,16.021,PG
1975-12,2.458,5.447,0.906,8.811,7.339,16.15,PG
1976-01,2.473,5.653,1.164,9.29,7.329,16.619,PG
1976-02,2.572,5.651,1.455,9.678,7.304,16.982,PG
1976-03,2.489,5.68,1.552,9.721,7.296,17.017,PG
1976-04,2.373,5.716,1.204,9.293,7.303,16.596,PG
1976-05,2.396,5.694,0.888,8.978,7.325,16.302,PG
1976-06,2.406,5.681,0.903,8.99,7.318,16.308,PG
1976-07,2.395,5.691,1.007,9.093,7.284,16.377,PG
1976-08,2.478,5.647,0.888,9.013,7.325,16.338,PG
1976-09,2.544,5.631,0.72,8.895,7.325,16.22,PG
1976-10,2.415,5.664,0.615,8.694,7.339,16.034,PG
1976-11,2.489,5.525,0.56,8.574,7.315,15.889,PG
1976-12,2.326,5.475,0.793,8.594,7.334,15.928,PG
1977-01,2.23,5.498,0.86,8.588,7.383,15.971,PG
1977-02,2.11,5.524,0.917,8.551,7.462,16.013,PG
1977-03,2.051,5.511,0.83,8.392,7.531,15.923,PG
1977-04,2.077,5.446,0.751,8.274,7.6,15.874,PG
1977-05,2.275,5.348,0.789,8.412,7.613,16.025,PG
1977-06,2.268,5.349,0.831,8.448,7.654,16.102,PG
1977-07,2.377,4.905,0.837,8.119,7.681,15.8,PG
1977-08,2.389,4.837,1.287,8.513,7.695,16.209,PG
1977-09,2.368,4.429,1.155,7.952,7.723,15.675,PG
1977-10,2.486,4.413,1.199,8.098,7.737,15.835,PG
1977-11,2.521,4.382,0.734,7.637,7.793,15.431,PG
1977-12,2.435,4.227,0.632,7.294,7.822,15.116,PG
1978-01,2.324,4.157,0.592,7.073,7.863,14.936,PG
1978-02,2.491,3.825,0.529,6.845,7.864,14.71,PG
1978-03,2.643,3.74,0.792,7.175,7.906,15.081,PG
1978-04,2.707,3.733,1.102,7.542,7.934,15.476,PG
1978-05,2.658,3.732,1.078,7.468,8.004,15.472,PG
1978-06,2.722,3.711,0.836,7.269,8.074,15.343,PG
1978-07,2.583,3.752,0.538,6.873,8.133,15.006,PG
1978-08,2.569,3.754,0.791,7.114,8.179,15.294,PG
1978-09,2.569,3.751,0.692,7.012,8.252,15.264,PG
1978-10,2.582,3.747,0.921,7.25,8.338,15.588,PG
1978-11,2.633,3.733,0.805,7.171,8.372,15.543,PG
1978-12,2.806,3.681,0.93,7.417,8.418,15.835,PG
1979-01,2.619,3.735,1.264,7.618,8.472,16.09,PG
1979-02,2.607,3.737,1.177,7.521,8.551,16.072,PG
1979-03,2.536,3.758,1.297,7.591,8.602,16.193,PG
1979-04,2.326,3.819,0.781,6.926,8.664,15.59,PG
1979-05,2.4,3.792,0.997,7.189,8.723,15.912,PG
1979-06,2.311,3.817,1.275,7.403,8.753,16.156,PG
1979-07,2.281,3.824,1.525,7.63,8.807,16.436,PG
1979-08,2.313,3.812,1.445,7.57,8.873,16.443,PG
1979-09,2.369,3.794,1.265,7.428,8.921,16.349,PG
1979-10,2.575,3.899,1.172,7.646,8.931,16.577,PG
1979-11,2.513,3.859,1.248,7.62,8.986,16.606,PG
1979-12,2.459,3.948,1.116,7.523,9.05,16.572,PG
1980-01,2.466,3.957,1.266,7.689,9.104,16.793,PG
1980-02,2.433,3.816,1.131,7.38,9.128,16.508,PG
1980-03,2.938,4.116,1.106,8.16,9.169,17.33,PG
1980-04,2.261,4.775,1.107,8.143,9.16,17.303,PG
1980-05,1.851,4.804,1.382,8.037,9.124,17.16,PG
1980-06,3.25,4.754,1.538,9.542,9.105,18.647,PG
1980-07,2.758,4.203,1.716,8.677,8.986,17.663,PG
1980-08,3.075,4.132,1.572,8.779,8.937,17.716,PG
1980-09,2.551,4.301,1.872,8.724,8.883,17.608,PG
1980-10,2.564,4.541,1.962,9.067,8.86,17.927,PG
1980-11,2.84,4.29,1.857,8.987,8.813,17.8,PG
1980-12,2.91,4.549,1.308,8.767,8.763,17.53,PG
1981-01,3.106,4.839,1.006,8.951,8.664,17.614,PG
1981-02,3.18,4.638,1.272,9.09,8.582,17.672,PG
1981-03,3.218,4.627,1.478,9.323,8.454,17.776,PG
1981-04,3.558,4.297,1.645,9.5,8.355,17.854,PG
1981-05,3.721,4.246,1.357,9.324,8.276,17.599,PG
1981-06,3.602,4.665,1.568,9.835,8.196,18.031,PG
1981-07,3.566,4.404,1.384,9.354,8.214,17.568,PG
1981-08,3.564,4.064,1.294,8.922,8.145,17.067,PG
1981-09,3.558,4.091,1.358,9.007,8.084,17.091,PG
1981-10,3.162,4.322,1.421,8.905,7.943,16.848,PG
1981-11,3.021,4.782,1.382,9.185,7.817,17.002,PG
1981-12,3.126,4.931,1.04,9.097,7.677,16.774,PG
1982-01,3.423,4.53,1.349,9.302,7.543,16.845,PG
1982-02,3.525,4.519,1.228,9.272,7.386,16.659,PG
1982-03,3.437,4.849,1.043,9.329,7.217,16.547,PG
1982-04,3.495,4.928,0.701,9.124,7.094,16.218,PG
1982-05,3.438,4.987,0.625,9.05,7.007,16.058,PG
1982-06,3.614,4.717,0.472,8.803,6.937,15.74,PG
1982-07,3.386,4.796,0.651,8.833,6.788,15.622,PG
1982-08,3.141,5.215,1.048,9.404,6.64,16.044,PG
1982-09,3.158,5.295,1.086,9.539,6.47,16.01,PG
1982-10,3.137,5.214,0.927,9.278,6.375,15.653,PG
1982-11,3.209,5.223,1.293,9.725,6.23,15.955,PG
1982-12,3.581,4.912,1.22,9.713,6.066,15.779,PG
1983-01,3.445,4.752,1.383,9.58,5.957,15.537,PG
1983-02,3.705,4.606,0.944,9.255,5.845,15.1,PG
1983-03,3.65,4.48,1.224,9.354,5.765,15.119,PG
1983-04,3.354,4.38,1.128,8.862,5.702,14.563,PG
1983-05,3.59,4.297,1.74,9.627,5.592,15.219,PG
1983-06,3.746,4.228,1.563,9.537,5.432,14.969,PG
1983-07,3.257,4.293,1.524,9.074,5.342,14.415,PG
1983-08,3.279,4.302,1.068,8.649,5.274,13.923,PG
1983-09,3.166,4.339,1.229,8.734,5.225,13.959,PG
1983-10,3.158,4.33,1.079,8.567,5.159,13.727,PG
1983-11,3.158,4.31,1.221,8.689,5.127,13.816,PG
1983-12,3.192,4.278,1.308,8.778,5.104,13.882,PG
1984-01,3.227,4.261,1.732,9.22,5.073,14.293,PG
1984-02,3.151,4.332,1.753,9.236,5.043,14.279,PG
1984-03,3.162,4.305,1.595,9.062,4.999,14.061,PG
1984-04,3.201,4.292,1.067,8.56,4.925,13.485,PG
1984-05,3.439,4.201,1.192,8.832,4.844,13.676,PG
