yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1967,9.41,13.03,9.33,12.83,3.61
1968,8.68,12.95,9.26,13.26,3.07
1969,7.57,12.39,8.63,13.2,2.61
1970,8.58,13.64,9.26,14.22,2.95
1971,9.56,14.71,9.09,14.19,2.47
1972,9.95,15.59,9.37,14.76,2.75
1973,8.07,14.83,8.45,14.69,2.23
1974,10.01,17.6,9.1,16.37,3.3
1975,9.3,16.64,9.91,17.37,1.39
1976,9.59,16.92,9.56,16.88,1.78
1977,7.84,15.66,8.98,16.62,1.18
1978,8.34,16.76,7.79,15.91,1.86
1979,7.98,17.03,8.09,16.87,1.57
1980,10.32,19.08,9.36,18.36,2.86
1981,11.57,19.25,11.35,19.55,3.51
1982,11.12,17.19,11.59,18.4,2.63
1983,9.28,14.38,9.64,15.1,1.81
1984,9.07,13.58,9.42,14.21,1.69
1985,9.64,13.79,9.38,13.66,2.28
1986,8.78,12.55,8.99,12.88,1.84
1987,8.29,12.37,8.2,12.18,0.84
1988,8.69,12.81,8.49,12.56,0.59
1989,9.64,13.78,9.12,13.28,1.27
1990,7.21,11.34,8.73,12.87,0.99
1991,7.39,11.0,7.74,11.58,0.91
1992,8.0,11.34,8.05,11.51,1.36
1993,8.03,11.14,7.7,10.92,1.4
1994,8.19,11.14,8.02,11.03,1.25
1995,8.53,11.34,8.19,11.08,1.25
1996,8.52,11.27,8.54,11.32,1.11
1997,9.36,11.85,9.46,12.06,1.72
1998,9.34,11.78,9.21,11.66,0.98
1999,12.75,15.33,10.68,13.19,3.22
2000,11.02,13.68,11.79,14.45,2.31
2001,9.87,12.32,10.76,13.35,1.76
2002,8.92,11.44,9.45,11.9,1.83
2003,9.37,11.92,9.64,12.18,1.85
2004,7.88,10.64,8.76,11.43,1.14
2005,7.38,10.22,7.74,10.55,1.44
2006,6.77,9.5,6.95,9.77,0.7
2007,6.62,9.4,6.64,9.36,1.33
2008,9.74,11.99,7.28,9.95,2.2
2009,8.39,10.59,8.66,10.71,1.24
2010,8.25,10.29,8.18,10.26,1.02
2011,8.38,10.47,8.38,10.53,1.41
2012,7.66,9.52,7.86,9.8,0.84
2013,5.15,6.88,6.14,7.91,0.64
2014,5.15,6.76,4.96,6.66,1.0
2015,6.03,7.68,5.44,7.0,1.47
2016,5.17,7.11,5.51,7.29,0.99
2017,5.0,7.16,5.11,7.18,1.01
2018,6.1,8.45,5.62,7.92,1.73
2019,5.54,8.16,5.44,7.9,1.27
2020,9.81,12.73,8.74,11.47,1.64
2021,9.36,13.23,9.52,12.98,1.33
2022,8.07,12.06,8.02,12.1,1.3
2023,6.38,9.91,6.78,10.48,0.86
2024,7.22,10.56,7.09,10.5,1.13
2025,7.33,10.61,7.43,10.72,1.33
2026,8.1,11.45,7.87,11.2,1.86
