yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1963,8.6,10.54,8.2,10.02,1.86
1964,7.51,9.66,7.99,10.04,0.99
1965,8.51,11.13,7.64,10.04,2.39
1966,7.09,10.28,7.89,10.83,1.68
1967,7.11,10.74,7.1,10.48,1.32
1968,7.25,11.51,6.69,10.69,1.64
1969,7.61,12.43,7.35,11.92,2.65
1970,7.65,12.71,7.9,12.86,2.02
1971,8.71,13.87,8.51,13.61,1.63
1972,8.59,14.24,8.32,13.71,1.4
1973,6.86,13.62,7.09,13.32,1.02
1974,7.94,15.53,7.71,14.98,1.23
1975,9.64,16.97,9.15,16.61,1.73
1976,9.38,16.71,9.42,16.73,1.58
1977,7.84,15.66,8.77,16.41,1.18
1978,7.78,16.2,7.43,15.55,1.29
1979,7.52,16.57,7.29,16.07,1.11
1980,9.16,17.92,8.54,17.54,1.7
1981,9.51,17.19,9.55,17.75,1.45
1982,9.93,16.0,9.5,16.31,1.44
1983,8.95,14.05,9.45,14.91,1.48
1984,8.83,13.35,9.37,14.16,1.46
1985,7.92,12.08,8.59,12.86,0.57
1986,8.11,11.88,8.25,12.13,1.16
1987,8.39,12.47,7.69,11.68,0.94
1988,8.71,12.84,8.51,12.59,0.62
1989,9.28,13.42,9.1,13.26,0.91
1990,7.21,11.34,8.71,12.86,0.98
1991,8.4,12.01,7.75,11.59,1.92
1992,8.07,11.42,8.28,11.75,1.43
1993,8.31,11.42,8.48,11.7,1.68
1994,8.05,11.0,8.31,11.33,1.12
1995,8.62,11.43,8.22,11.11,1.34
1996,8.54,11.29,8.4,11.18,1.13
1997,9.04,11.53,8.95,11.55,1.4
1998,9.73,12.17,9.29,11.73,1.38
1999,11.72,14.31,10.59,13.1,2.19
2000,11.62,14.29,12.33,14.99,2.91
2001,9.61,12.06,10.71,13.29,1.51
2002,8.73,11.25,9.17,11.61,1.64
2003,8.47,11.01,8.76,11.3,0.95
2004,8.14,10.9,8.39,11.05,1.39
2005,6.73,9.57,7.22,10.03,0.78
2006,6.82,9.55,6.92,9.73,0.75
2007,6.41,9.19,6.83,9.54,1.12
2008,8.24,10.49,6.72,9.39,0.7
2009,8.12,10.32,7.98,10.03,0.97
2010,8.16,10.19,8.05,10.13,0.93
2011,8.14,10.23,8.43,10.57,1.17
2012,7.51,9.36,7.6,9.55,0.68
2013,5.9,7.63,6.44,8.22,1.39
2014,4.94,6.54,5.31,7.02,0.78
2015,5.26,6.91,5.13,6.7,0.7
2016,5.22,7.16,5.09,6.88,1.03
2017,5.02,7.18,5.21,7.27,1.03
2018,6.11,8.46,5.35,7.65,1.74
2019,5.05,7.66,5.23,7.69,0.78
2020,9.9,12.82,8.35,11.07,1.73
2021,9.9,13.77,9.79,13.25,1.86
2022,7.93,11.92,8.56,12.64,1.15
2023,6.34,9.87,7.1,10.81,0.82
2024,7.43,10.77,6.72,10.13,1.34
2025,7.56,10.84,7.67,10.97,1.56
2026,8.89,12.23,8.21,11.54,2.65
