yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1986,11.23,15.0,11.17,14.94,4.28
1987,12.87,16.95,10.88,14.86,5.42
1988,11.15,15.27,11.52,15.59,3.05
1989,10.63,14.77,10.65,14.81,2.26
1990,8.54,12.67,9.39,13.53,2.32
1991,8.99,12.6,8.76,12.6,2.51
1992,10.24,13.58,8.83,12.29,3.6
1993,8.75,11.86,9.58,12.81,2.12
1994,10.54,13.49,10.06,13.07,3.6
1995,9.31,12.13,9.24,12.13,2.03
1996,9.62,12.37,9.25,12.03,2.21
1997,9.3,11.8,9.4,12.0,1.66
1998,10.63,13.07,9.77,12.21,2.27
1999,11.84,14.42,11.32,13.83,2.31
2000,11.07,13.73,11.59,14.25,2.36
2001,10.03,12.48,10.6,13.19,1.92
2002,9.81,12.33,9.93,12.37,2.72
2003,8.86,11.41,9.42,11.96,1.34
2004,8.14,10.9,8.16,10.83,1.39
2005,7.29,10.13,7.41,10.23,1.34
2006,7.26,9.99,7.35,10.16,1.19
2007,7.21,9.99,7.35,10.06,1.92
2008,8.83,11.08,7.52,10.19,1.29
2009,8.18,10.38,8.46,10.51,1.04
2010,8.93,10.97,8.49,10.56,1.7
2011,8.46,10.55,8.55,10.69,1.48
2012,7.81,9.67,8.06,10.01,0.99
2013,5.57,7.3,5.9,7.68,1.06
2014,5.49,7.1,5.42,7.12,1.34
2015,5.85,7.5,5.88,7.45,1.29
2016,5.36,7.3,5.41,7.2,1.17
2017,5.87,8.03,5.87,7.93,1.87
2018,5.28,7.62,5.27,7.57,0.9
2019,5.54,8.15,5.57,8.03,1.26
2020,9.51,12.43,8.52,11.24,1.34
2021,10.16,14.03,9.91,13.37,2.13
2022,8.95,12.94,9.06,13.14,2.18
2023,6.38,9.92,6.88,10.58,0.87
2024,7.43,10.77,7.07,10.49,1.34
2025,7.63,10.91,7.73,11.02,1.63
2026,8.47,11.81,8.3,11.63,2.23
