,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1963-01,1.74,5.004,1.269,8.013,1.755,9.768,JNJ
1963-02,1.848,4.928,1.563,8.339,1.741,10.08,JNJ
1963-03,1.85,4.899,1.604,8.353,1.779,10.132,JNJ
1963-04,1.812,4.992,1.453,8.257,1.767,10.023,JNJ
1963-05,1.812,5.019,1.433,8.264,1.78,10.044,JNJ
1963-06,1.799,5.008,1.258,8.065,1.82,9.884,JNJ
1963-07,1.76,4.983,0.987,7.73,1.834,9.565,JNJ
1963-08,1.833,5.0,1.033,7.866,1.85,9.716,JNJ
1963-09,1.878,4.99,1.057,7.925,1.841,9.766,JNJ
1963-10,1.899,4.957,1.745,8.601,1.882,10.483,JNJ
1963-11,1.79,4.952,1.592,8.334,1.9,10.233,JNJ
1963-12,1.784,4.952,1.861,8.597,1.943,10.54,JNJ
1964-01,1.777,4.945,1.196,7.918,1.961,9.879,JNJ
1964-02,1.781,4.914,1.56,8.255,1.98,10.235,JNJ
1964-03,1.882,4.881,1.774,8.537,1.974,10.511,JNJ
1964-04,1.846,4.887,2.312,9.045,1.993,11.038,JNJ
1964-05,1.762,4.912,1.818,8.492,2.014,10.505,JNJ
1964-06,1.696,4.911,1.35,7.957,2.034,9.991,JNJ
1964-07,1.835,4.928,1.053,7.816,2.056,9.871,JNJ
1964-08,1.827,4.889,0.959,7.675,2.054,9.729,JNJ
1964-09,1.67,4.923,0.9,7.493,2.102,9.595,JNJ
1964-10,1.687,4.926,0.775,7.388,2.102,9.49,JNJ
1964-11,1.653,4.874,1.248,7.775,2.152,9.926,JNJ
1964-12,1.661,4.856,0.989,7.506,2.153,9.659,JNJ
1965-01,1.884,4.796,1.266,7.946,2.181,10.127,JNJ
1965-02,1.843,4.81,0.978,7.631,2.21,9.841,JNJ
1965-03,1.589,4.851,0.856,7.296,2.264,9.56,JNJ
1965-04,1.489,4.804,0.568,6.861,2.319,9.18,JNJ
1965-05,1.464,4.542,0.757,6.763,2.351,9.114,JNJ
1965-06,1.397,4.444,0.966,6.807,2.407,9.214,JNJ
1965-07,1.42,4.404,1.523,7.347,2.415,9.762,JNJ
1965-08,1.388,4.4,1.792,7.58,2.474,10.053,JNJ
1965-09,1.782,4.316,2.096,8.194,2.483,10.678,JNJ
1965-10,1.5,4.399,2.327,8.226,2.543,10.768,JNJ
1965-11,1.548,4.38,2.533,8.461,2.554,11.015,JNJ
1965-12,1.816,4.305,2.392,8.513,2.615,11.128,JNJ
1966-01,1.842,4.319,2.323,8.484,2.652,11.136,JNJ
1966-02,1.923,4.293,1.941,8.157,2.738,10.895,JNJ
1966-03,1.645,4.313,1.8,7.758,2.776,10.534,JNJ
1966-04,1.614,4.321,1.424,7.359,2.838,10.196,JNJ
1966-05,1.659,4.24,1.461,7.36,2.876,10.236,JNJ
1966-06,1.797,4.178,2.236,8.211,2.889,11.101,JNJ
1966-07,1.891,4.14,2.415,8.446,2.952,11.398,JNJ
1966-08,2.208,3.971,2.324,8.503,3.038,11.542,JNJ
1966-09,1.827,4.063,2.044,7.934,3.077,11.011,JNJ
1966-10,1.631,4.118,1.947,7.696,3.138,10.834,JNJ
1966-11,1.674,4.1,1.845,7.619,3.175,10.795,JNJ
1966-12,1.157,4.253,1.682,7.092,3.188,10.28,JNJ
1967-01,0.987,4.295,1.343,6.625,3.224,9.849,JNJ
1967-02,1.11,4.25,1.196,6.556,3.212,9.768,JNJ
1967-03,0.789,4.342,1.851,6.982,3.248,10.23,JNJ
1967-04,1.115,4.237,1.766,7.118,3.261,10.379,JNJ
1967-05,1.042,4.26,1.685,6.987,3.322,10.309,JNJ
1967-06,1.457,4.134,1.004,6.595,3.36,9.954,JNJ
