yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1982,13.08,19.15,12.97,19.26,4.59
1983,12.04,17.15,11.86,17.32,4.57
1984,10.86,15.37,11.74,16.53,3.48
1985,9.96,14.11,11.02,15.3,2.6
1986,8.72,12.49,9.72,13.61,1.77
1987,9.77,13.84,9.14,13.13,2.31
1988,10.33,14.45,10.28,14.35,2.24
1989,9.95,14.08,10.44,14.6,1.58
1990,8.91,13.04,10.16,14.3,2.68
1991,8.62,12.23,8.65,12.48,2.14
1992,8.5,11.84,8.49,11.96,1.85
1993,8.5,11.62,8.53,11.76,1.87
1994,8.72,11.67,8.79,11.8,1.79
1995,9.8,12.62,9.02,11.91,2.52
1996,9.44,12.19,9.49,12.26,2.03
1997,9.35,11.84,9.14,11.74,1.71
1998,10.42,12.86,9.06,11.51,2.07
1999,11.96,14.54,10.81,13.32,2.43
2000,12.63,15.29,12.18,14.84,3.92
2001,10.18,12.63,10.3,12.89,2.08
2002,9.12,11.64,9.6,12.05,2.03
2003,9.8,12.34,9.52,12.06,2.28
2004,7.93,10.69,8.59,11.25,1.19
2005,7.93,10.77,7.88,10.69,1.99
2006,7.1,9.83,7.55,10.36,1.03
2007,6.72,9.5,7.15,9.86,1.43
2008,8.9,11.15,7.93,10.6,1.36
2009,9.04,11.24,8.74,10.79,1.89
2010,9.22,11.25,9.02,11.1,1.99
2011,8.48,10.57,8.19,10.33,1.51
2012,8.76,10.61,8.38,10.32,1.93
2013,5.04,6.77,6.48,8.26,0.53
2014,5.3,6.9,5.04,6.74,1.15
2015,5.78,7.42,5.72,7.28,1.22
2016,5.21,7.15,5.11,6.9,1.02
2017,5.25,7.41,5.18,7.24,1.26
2018,5.79,8.14,5.43,7.73,1.42
2019,5.56,8.18,5.31,7.77,1.29
2020,9.89,12.81,8.33,11.05,1.71
2021,9.93,13.8,9.99,13.45,1.9
2022,8.04,12.03,8.71,12.79,1.26
2023,6.98,10.52,7.06,10.76,1.47
2024,7.44,10.78,7.12,10.53,1.35
2025,7.71,10.99,7.28,10.58,1.71
2026,9.41,12.76,8.33,11.66,3.18
