Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
SJM4962241J. M. Smucker Company 3.55% 15-MAR-2050D,0.0618,0.6746,0.0355,2050-03-15 00:00:00,161.23 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM5667342J. M. Smucker Company 6.5% 15-NOV-2053D,0.0594,1.0743,0.065,2053-11-15 00:00:00,1 B USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM5667341J. M. Smucker Company 6.5% 15-NOV-2043D,0.0587,1.0668,0.065,2043-11-15 00:00:00,750 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM4294401J. M. Smucker Company 4.375% 15-MAR-2045D,0.0582,0.8308,0.04375,2045-03-15 00:00:00,600 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM4294403J. M. Smucker Company 4.25% 15-MAR-2035D,0.0534,0.926,0.0425,2035-03-15 00:00:00,650 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM5667340J. M. Smucker Company 6.2% 15-NOV-2033D,0.0519,1.0592,0.062,2033-11-15 00:00:00,1 B USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM5263489J. M. Smucker Company 2.125% 15-MAR-2032D,0.0503,0.8581,0.02125,2032-03-15 00:00:00,364.51 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM4962240J. M. Smucker Company 2.375% 15-MAR-2030D,0.0477,0.92,0.02375,2030-03-15 00:00:00,500 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM5667339J. M. Smucker Company 5.9% 15-NOV-2028D,0.046,1.0275,0.059,2028-11-15 00:00:00,750 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
SJM4573456J. M. Smucker Company 3.375% 15-DEC-2027D,0.0434,0.9867,0.03375,2027-12-15 00:00:00,500 M USD,"1,000.00 USD",BBB,—,The J. M. Smucker Co.
