Symbol,YTW %,Price %,Coupon %,Maturity date,Outstanding amt,Face value,S&P rating,Fitch rating,Issuer
HSYBHershey Company 3.375% 15-AUG-2046,0.0579,0.7153,0.03375,2046-08-15 00:00:00,300 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY4904965Hershey Company 3.125% 15-NOV-2049D,0.0574,0.6651,0.03125,2049-11-15 00:00:00,400 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY4995171Hershey Company 2.65% 01-JUN-2050D,0.0573,0.6032,0.0265,2050-06-01 00:00:00,350 M USD,"1,000.00 USD",A,—,The Hershey Co.
US427866AX6Hershey Company 2.3% 15-AUG-2026,0.0552,0.997,0.023,2026-08-15 00:00:00,500 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY5581293Hershey Company 4.5% 04-MAY-2033D,0.048,0.9825,0.045,2033-05-04 00:00:00,400 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY6010276Hershey Company 4.95% 24-FEB-2032D,0.0475,1.0095,0.0495,2032-02-24 00:00:00,500 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY6010278Hershey Company 5.1% 24-FEB-2035D,0.0468,1.0287,0.051,2035-02-24 00:00:00,500 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY4995133Hershey Company 1.7% 01-JUN-2030D,0.0466,0.8957,0.017,2030-06-01 00:00:00,350 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY4904876Hershey Company 2.45% 15-NOV-2029D,0.0458,0.9344,0.0245,2029-11-15 00:00:00,300 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY6010275Hershey Company 4.75% 24-FEB-2030D,0.0454,1.0065,0.0475,2030-02-24 00:00:00,500 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY5581214Hershey Company 4.25% 04-MAY-2028D,0.0445,0.9965,0.0425,2028-05-04 00:00:00,350 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY6010274Hershey Company 4.55% 24-FEB-2028D,0.044,1.0021,0.0455,2028-02-24 00:00:00,500 M USD,"1,000.00 USD",A,—,The Hershey Co.
HSY.GEHershey Foods Corp. 7.2% 15-AUG-2027D,0.0436,1.0302,0.072,2027-08-15 00:00:00,193.64 M USD,"1,000.00 USD",A,—,Hershey Foods Corp.
